Player,Nation,Pos,Squad,passing_Age,passing_Born,passing_90s,passing_Total_Cmp,passing_Total_Att,passing_Total_Cmp%,passing_Total_TotDist,passing_Total_PrgDist,passing_Short_Cmp,passing_Short_Att,passing_Short_Cmp%,passing_Medium_Cmp,passing_Medium_Att,passing_Medium_Cmp%,passing_Long_Cmp,passing_Long_Att,passing_Long_Cmp%,passing_Ast,passing_xAG,passing_Expected_xA,passing_Expected_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_PrgP,passing_Matches
Martial Godo,eng ENG,FW,Fulham,22-028,2003,0.2,3,5,60.0,41,2,2,3,66.7,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
João Gomes,br BRA,MF,Wolves,24-058,2001,27.0,1112,1305,85.2,16136,4183,642,708,90.7,351,409,85.8,59,95,62.1,1,1.1,1.7,-0.1,20,104,21,1,140,Matches
Rodrigo Gomes,pt POR,"DF,FW",Wolves,21-278,2003,6.6,152,230,66.1,2270,814,89,115,77.4,54,79,68.4,6,22,27.3,0,0.8,0.7,-0.8,10,10,12,4,23,Matches
Toti Gomes,pt POR,DF,Wolves,26-085,1999,22.0,1076,1269,84.8,18229,6507,475,523,90.8,510,554,92.1,70,135,51.9,1,0.9,0.5,+0.1,7,65,5,3,63,Matches
Diego Gómez,py PAR,MF,Brighton,22-015,2003,4.4,181,228,79.4,2768,669,102,118,86.4,64,77,83.1,10,20,50.0,0,0.5,0.8,-0.5,5,12,4,1,18,Matches
Joe Gomez,eng ENG,DF,Liverpool,27-323,1997,5.8,377,425,88.7,6689,2299,155,170,91.2,191,204,93.6,26,42,61.9,0,0.1,0.1,-0.1,2,29,0,0,35,Matches
Nicolás González,es ESP,MF,Manchester City,23-098,2002,5.3,376,405,92.8,5635,1322,216,221,97.7,153,169,90.5,6,8,75.0,0,0.1,0.4,-0.1,1,37,2,0,33,Matches
Anthony Gordon,eng ENG,FW,Newcastle Utd,24-046,2001,23.4,612,850,72.0,9404,3173,342,401,85.3,206,268,76.9,45,111,40.5,5,4.9,4.8,+0.1,49,56,49,16,88,Matches
Ryan Gravenberch,nl NED,MF,Liverpool,22-330,2002,29.5,1473,1654,89.1,21936,5416,810,878,92.3,562,613,91.7,54,88,61.4,3,2.8,3.1,+0.2,24,126,28,1,149,Matches
Archie Gray,eng ENG,"DF,MF",Tottenham,19-030,2006,14.0,846,945,89.5,15054,4685,311,336,92.6,477,508,93.9,49,78,62.8,0,0.1,0.2,-0.1,2,30,0,0,27,Matches
Jack Grealish,eng ENG,"FW,MF",Manchester City,29-213,1995,8.0,373,426,87.6,5566,961,241,258,93.4,114,130,87.7,17,25,68.0,1,1.8,1.7,-0.8,24,23,16,0,52,Matches
Jacob Greaves,eng ENG,DF,Ipswich Town,24-211,2000,18.5,759,868,87.4,12401,4725,359,386,93.0,362,393,92.1,26,63,41.3,0,0.0,0.2,0.0,2,55,1,0,48,Matches
Brajan Gruda,de GER,"FW,MF",Brighton,20-315,2004,5.4,131,179,73.2,1737,586,85,103,82.5,30,42,71.4,8,21,38.1,1,0.7,0.6,+0.3,12,7,10,1,17,Matches
Albert Grønbaek,dk DEN,"FW,MF",Southampton,23-323,2001,1.6,13,18,72.2,135,43,9,11,81.8,2,4,50.0,0,0,,0,0.0,0.0,0.0,1,2,0,0,1,Matches
Gonçalo Guedes,pt POR,"MF,FW",Wolves,28-133,1996,8.6,186,256,72.7,3117,789,95,113,84.1,73,96,76.0,13,29,44.8,4,1.1,0.6,+2.9,11,13,16,5,30,Matches
Marc Guéhi,eng ENG,DF,Crystal Palace,24-272,2000,29.0,1271,1523,83.5,24571,10123,457,500,91.4,669,753,88.8,136,244,55.7,2,1.1,1.2,+0.9,10,115,9,3,119,Matches
Luis Guilherme,br BRA,"MF,FW",West Ham,19-061,2006,1.2,37,44,84.1,566,144,25,26,96.2,9,11,81.8,3,5,60.0,0,0.1,0.1,-0.1,3,1,3,2,3,Matches
Bruno Guimarães,br BRA,MF,Newcastle Utd,27-146,1997,28.6,1151,1404,82.0,18950,6390,576,639,90.1,446,512,87.1,93,159,58.5,6,5.3,4.4,+0.7,40,144,55,4,212,Matches
Marc Guiu,es ESP,FW,Chelsea,19-097,2006,0.8,11,16,68.8,110,4,9,13,69.2,1,2,50.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,Matches
İlkay Gündoğan,de GER,MF,Manchester City,34-169,1990,18.9,1216,1364,89.1,18727,3661,694,738,94.0,428,461,92.8,72,122,59.0,3,2.5,3.5,+0.5,32,88,18,2,105,Matches
Malo Gusto,fr FRA,DF,Chelsea,21-327,2003,19.2,1095,1270,86.2,17892,4455,531,568,93.5,473,539,87.8,65,106,61.3,1,1.1,1.6,-0.1,17,100,14,4,103,Matches
Joško Gvardiol,hr CRO,DF,Manchester City,23-078,2002,29.4,1983,2192,90.5,31841,8265,983,1046,94.0,899,973,92.4,80,116,69.0,0,2.0,2.7,-2.0,25,189,19,1,218,Matches
Erling Haaland,no NOR,FW,Manchester City,24-264,2000,27.6,225,341,66.0,2706,532,156,221,70.6,50,75,66.7,4,6,66.7,3,2.8,1.8,+0.2,26,9,7,1,18,Matches
Lewis Hall,eng ENG,DF,Newcastle Utd,20-215,2004,24.3,1300,1592,81.7,21999,8891,653,715,91.3,525,617,85.1,104,202,51.5,4,4.3,3.7,-0.3,34,114,17,5,123,Matches
Ali Al Hamadi,iq IRQ,FW,Ipswich Town,23-041,2002,1.5,25,30,83.3,278,29,20,23,87.0,5,7,71.4,0,0,,0,0.1,0.0,-0.1,2,0,0,0,3,Matches
Marcus Harness,eng ENG,MF,Ipswich Town,29-046,1996,0.5,10,16,62.5,89,23,9,11,81.8,0,1,0.0,0,1,0.0,0,0.0,0.1,0.0,0,0,2,0,2,Matches
Jack Harrison,eng ENG,FW,Everton,28-142,1996,18.4,318,500,63.6,4941,1852,189,229,82.5,86,125,68.8,27,81,33.3,0,3.5,2.7,-3.5,28,22,19,7,36,Matches
Taylor Harwood-Bellis,eng ENG,DF,Southampton,23-071,2002,25.6,1623,1842,88.1,30077,10741,601,643,93.5,865,945,91.5,143,223,64.1,0,0.8,0.6,-0.8,12,159,8,0,107,Matches
Kai Havertz,de GER,"FW,MF",Arsenal,25-304,1999,20.4,401,511,78.5,4833,1010,281,334,84.1,94,114,82.5,5,11,45.5,3,2.4,1.7,+0.6,16,26,8,1,59,Matches
Ayden Heaven,eng ENG,DF,Manchester Utd,18-201,2006,1.1,40,49,81.6,695,185,14,17,82.4,24,27,88.9,1,3,33.3,0,0.0,0.0,0.0,0,2,0,0,2,Matches
Jan Paul van Hecke,nl NED,DF,Brighton,24-307,2000,27.9,1741,1967,88.5,34428,13099,593,634,93.5,939,1004,93.5,197,296,66.6,1,1.5,1.3,-0.5,13,188,15,4,199,Matches
Hwang Hee-chan,kr KOR,"MF,FW",Wolves,29-075,1996,7.1,155,191,81.2,2021,377,103,119,86.6,40,47,85.1,4,5,80.0,0,0.1,0.3,-0.1,3,6,4,2,11,Matches
Dean Henderson,eng ENG,GK,Crystal Palace,28-030,1997,30.0,601,970,62.0,16108,10426,146,147,99.3,297,299,99.3,154,519,29.7,0,0.1,0.0,-0.1,2,14,1,0,0,Matches
Rico Henry,eng ENG,DF,Brentford,27-277,1997,0.0,2,5,40.0,44,28,1,3,33.3,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Mads Hermansen,dk DEN,GK,Leicester City,24-274,2000,23.5,579,937,61.8,15153,11036,136,138,98.6,274,289,94.8,169,506,33.4,0,0.0,0.0,0.0,0,19,1,0,1,Matches
Son Heung-min,kr KOR,FW,Tottenham,32-277,1992,22.3,703,890,79.0,9833,2671,437,487,89.7,192,240,80.0,36,75,48.0,9,8.2,5.1,+0.8,50,36,51,6,104,Matches
James Hill,eng ENG,DF,Bournemouth,23-091,2002,5.0,159,245,64.9,3098,1094,51,67,76.1,85,110,77.3,21,58,36.2,1,0.3,0.3,+0.7,3,20,6,0,16,Matches
Jack Hinshelwood,eng ENG,"DF,MF",Brighton,20-000,2005,15.7,663,798,83.1,10135,2564,384,416,92.3,216,257,84.0,47,91,51.6,0,0.9,1.3,-0.9,10,25,8,2,52,Matches
George Hirst,sct SCO,FW,Ipswich Town,26-055,1999,3.3,40,74,54.1,418,115,31,46,67.4,6,15,40.0,0,1,0.0,1,0.3,0.1,+0.7,3,0,3,0,10,Matches
Mason Holgate,eng ENG,"FW,DF",Everton,28-171,1996,0.1,2,2,100.0,55,0,0,0,,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Callum Hudson-Odoi,eng ENG,FW,Nott'ham Forest,24-155,2000,22.0,629,765,82.2,9137,1889,378,410,92.2,187,228,82.0,38,77,49.4,2,2.7,2.5,-0.7,43,33,29,9,63,Matches
Will Hughes,eng ENG,MF,Crystal Palace,29-359,1995,18.3,603,787,76.6,9738,3425,299,338,88.5,242,292,82.9,42,106,39.6,3,2.5,2.1,+0.5,28,63,14,3,79,Matches
Dean Huijsen,es ESP,DF,Bournemouth,19-362,2005,20.8,1006,1203,83.6,20544,8245,318,357,89.1,537,592,90.7,141,225,62.7,1,1.9,1.5,-0.9,13,125,7,2,92,Matches
Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-163,2003,24.7,581,742,78.3,9129,1609,292,331,88.2,247,292,84.6,29,55,52.7,2,2.5,1.6,-0.5,23,43,20,9,69,Matches
Rasmus Højlund,dk DEN,FW,Manchester Utd,22-066,2003,17.2,194,252,77.0,2114,385,140,169,82.8,33,46,71.7,3,4,75.0,0,1.2,0.8,-1.2,13,10,4,0,15,Matches
Igor,br BRA,DF,Brighton,27-063,1998,10.0,628,682,92.1,11358,3723,248,257,96.5,337,354,95.2,40,56,71.4,0,0.2,0.3,-0.2,1,35,2,1,44,Matches
Danny Ings,eng ENG,"FW,MF",West Ham,32-262,1992,3.2,63,92,68.5,830,126,41,49,83.7,19,29,65.5,1,5,20.0,2,1.3,0.1,+0.7,6,4,1,0,5,Matches
Tim Iroegbunam,eng ENG,MF,Everton,21-285,2003,6.2,105,145,72.4,1779,582,46,64,71.9,41,49,83.7,13,19,68.4,1,0.2,0.1,+0.8,3,10,1,0,14,Matches
Andy Irving,sct SCO,MF,West Ham,24-333,2000,1.8,109,124,87.9,1705,439,61,64,95.3,36,43,83.7,9,9,100.0,0,0.2,0.1,-0.2,1,14,1,1,9,Matches
Alexander Isak,se SWE,FW,Newcastle Utd,25-202,1999,24.3,411,559,73.5,5786,1366,247,299,82.6,124,160,77.5,19,31,61.3,5,3.8,3.2,+1.2,36,31,20,0,68,Matches
Alex Iwobi,ng NGA,"FW,MF",Fulham,28-343,1996,27.4,935,1253,74.6,16156,4698,470,546,86.1,363,467,77.7,86,154,55.8,5,6.2,6.1,-1.2,51,94,68,13,171,Matches
Nicolas Jackson,sn SEN,FW,Chelsea,23-295,2001,20.7,246,330,74.5,3288,746,150,184,81.5,70,93,75.3,8,13,61.5,5,4.1,1.7,+0.9,27,19,6,1,30,Matches
Reece James,eng ENG,"DF,MF",Chelsea,25-124,1999,8.5,531,627,84.7,9538,3249,251,266,94.4,226,256,88.3,47,89,52.8,0,0.5,0.8,-0.5,9,67,5,1,46,Matches
Vitaly Janelt,de GER,MF,Brentford,26-336,1998,24.2,857,1035,82.8,14277,4252,432,476,90.8,342,400,85.5,65,114,57.0,3,2.2,2.3,+0.8,13,78,22,7,79,Matches
Vitezslav Jaros,cz CZE,GK,Liverpool,23-262,2001,0.1,6,8,75.0,302,273,0,0,,1,1,100.0,5,7,71.4,0,0.0,0.0,0.0,0,2,0,0,0,Matches
Daniel Jebbison,eng ENG,FW,Bournemouth,21-241,2003,0.8,25,30,83.3,228,36,17,19,89.5,1,1,100.0,0,1,0.0,0,0.2,0.1,-0.2,3,1,1,0,3,Matches
Mathias Jensen,dk DEN,MF,Brentford,29-100,1996,8.3,316,419,75.4,5833,2104,146,168,86.9,120,152,78.9,40,73,54.8,1,1.5,1.2,-0.5,14,36,16,2,53,Matches
Gabriel Jesus,br BRA,FW,Arsenal,28-008,1997,6.8,156,203,76.8,2030,378,103,128,80.5,41,47,87.2,4,6,66.7,0,0.7,0.5,-0.7,8,10,9,1,19,Matches
Raúl Jiménez,mx MEX,FW,Fulham,33-341,1991,21.4,363,513,70.8,5521,1224,209,258,81.0,108,143,75.5,28,47,59.6,3,2.8,1.8,+0.2,16,29,8,3,45,Matches
Kim Jisoo,kr KOR,DF,Brentford,20-108,2004,0.3,25,28,89.3,552,202,8,9,88.9,11,12,91.7,6,7,85.7,0,0.0,0.0,0.0,0,1,0,0,2,Matches
João Pedro,br BRA,"FW,MF",Brighton,23-197,2001,20.0,438,603,72.6,6242,1606,269,345,78.0,123,164,75.0,26,39,66.7,6,4.3,2.7,+1.7,24,38,34,4,71,Matches
Joelinton,br BRA,"MF,FW",Newcastle Utd,28-240,1996,24.0,787,945,83.3,11106,3182,486,552,88.0,254,291,87.3,27,48,56.3,1,1.6,1.9,-0.6,20,76,14,1,109,Matches
Ben Johnson,eng ENG,"DF,FW",Ipswich Town,25-077,2000,12.6,266,375,70.9,4251,1801,153,177,86.4,90,120,75.0,20,44,45.5,1,0.6,0.5,+0.4,7,19,1,1,22,Matches
Brennan Johnson,wls WAL,FW,Tottenham,23-323,2001,20.9,400,562,71.2,5227,1408,245,303,80.9,130,172,75.6,8,24,33.3,2,2.1,1.9,-0.1,18,24,29,5,62,Matches
Sam Johnstone,eng ENG,GK,Wolves,32-017,1993,7.0,184,278,66.2,5548,4270,31,32,96.9,80,82,97.6,72,160,45.0,0,0.0,0.0,0.0,1,6,0,0,0,Matches
Curtis Jones,eng ENG,"MF,DF",Liverpool,24-071,2001,15.0,755,809,93.3,10971,2166,436,450,96.9,275,296,92.9,27,36,75.0,3,1.0,1.2,+2.0,19,52,14,0,74,Matches
Jorginho,it ITA,MF,Arsenal,33-112,1991,6.8,346,400,86.5,5408,1292,185,204,90.7,137,155,88.4,18,30,60.0,0,0.4,0.5,-0.4,3,36,8,0,42,Matches
Diogo Jota,pt POR,FW,Liverpool,28-128,1996,10.9,178,259,68.7,2570,597,98,128,76.6,60,81,74.1,9,17,52.9,3,1.8,1.1,+1.2,10,23,3,1,28,Matches
James Justin,eng ENG,DF,Leicester City,27-047,1998,27.1,976,1266,77.1,14988,4731,514,596,86.2,394,472,83.5,38,116,32.8,1,0.5,0.7,+0.5,12,65,19,7,75,Matches
Filip Jørgensen,dk DEN,GK,Chelsea,22-360,2002,6.0,158,189,83.6,2843,1649,64,64,100.0,79,81,97.5,11,40,27.5,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,25-186,1999,4.3,144,175,82.3,2372,698,73,82,89.0,61,74,82.4,9,14,64.3,0,0.2,0.3,-0.2,5,10,9,4,15,Matches
Daichi Kamada,jp JPN,MF,Crystal Palace,28-249,1996,12.3,430,542,79.3,6914,1860,232,264,87.9,166,204,81.4,24,41,58.5,0,1.1,1.0,-1.1,15,39,11,2,65,Matches
Boubacar Kamara,fr FRA,MF,Aston Villa,25-139,1999,13.3,608,683,89.0,9508,2929,307,328,93.6,266,292,91.1,22,42,52.4,0,0.5,0.4,-0.5,8,66,7,0,65,Matches
Michael Kayode,it ITA,DF,Brentford,20-275,2004,0.5,19,30,63.3,335,147,7,11,63.6,10,17,58.8,2,2,100.0,0,0.2,0.1,-0.2,2,2,1,1,1,Matches
Michael Keane,eng ENG,DF,Everton,32-090,1993,9.0,253,309,81.9,5832,1866,74,83,89.2,119,132,90.2,58,77,75.3,0,0.1,0.0,-0.1,2,17,0,0,12,Matches
Caoimhín Kelleher,ie IRL,GK,Liverpool,26-139,1998,10.0,289,382,75.7,6252,3968,99,99,100.0,147,147,100.0,43,135,31.9,0,0.0,0.0,0.0,0,6,0,0,0,Matches
Lloyd Kelly,eng ENG,DF,Newcastle Utd,26-187,1998,3.4,146,181,80.7,2636,867,57,65,87.7,78,87,89.7,10,24,41.7,1,0.5,0.1,+0.5,2,6,1,1,9,Matches
Milos Kerkez,hu HUN,DF,Bournemouth,21-155,2003,30.2,1060,1398,75.8,16755,5592,573,640,89.5,397,501,79.2,66,178,37.1,5,3.2,2.0,+1.8,27,76,32,20,130,Matches
Bilal El Khannouss,ma MAR,MF,Leicester City,20-336,2004,18.4,633,842,75.2,11268,3004,303,353,85.8,242,301,80.4,76,131,58.0,1,2.4,1.9,-1.4,25,70,24,5,104,Matches
Abdukodir Khusanov,uz UZB,DF,Manchester City,21-041,2004,5.6,360,395,91.1,6126,1976,160,169,94.7,191,197,97.0,6,23,26.1,0,0.1,0.1,-0.1,2,23,0,0,25,Matches
Max Kilman,eng ENG,DF,West Ham,27-323,1997,30.2,1357,1568,86.5,26393,8992,435,473,92.0,787,850,92.6,128,221,57.9,1,1.0,0.9,0.0,14,89,2,0,99,Matches
Joshua King,eng ENG,"MF,FW",Fulham,18-098,2007,0.9,32,37,86.5,477,92,18,20,90.0,13,15,86.7,0,1,0.0,0,0.4,0.7,-0.4,3,2,1,0,4,Matches
Antonín Kinský,cz CZE,GK,Tottenham,22-029,2003,4.0,116,145,80.0,2699,1686,17,17,100.0,73,76,96.1,23,48,47.9,0,0.1,0.0,-0.1,1,2,0,0,1,Matches
Jakub Kiwior,pl POL,DF,Arsenal,25-055,2000,5.5,247,283,87.3,4543,1406,91,98,92.9,139,148,93.9,16,30,53.3,0,0.2,0.1,-0.2,2,18,1,0,17,Matches
Justin Kluivert,nl NED,"MF,FW",Bournemouth,25-341,1999,21.5,451,622,72.5,7052,2015,247,300,82.3,152,202,75.2,38,72,52.8,6,4.7,3.2,+1.3,43,37,26,4,88,Matches
Ibrahima Konaté,fr FRA,DF,Liverpool,25-321,1999,22.8,1387,1535,90.4,25493,8847,485,517,93.8,824,868,94.9,69,129,53.5,2,0.9,0.8,+1.1,9,114,8,0,95,Matches
Ezri Konsa,eng ENG,DF,Aston Villa,27-170,1997,25.6,1249,1352,92.4,20884,6752,547,568,96.3,642,673,95.4,46,74,62.2,0,0.2,0.4,-0.2,3,80,1,0,60,Matches
Mateo Kovačić,hr CRO,MF,Manchester City,30-340,1994,19.7,1382,1488,92.9,21372,5553,741,777,95.4,577,603,95.7,48,77,62.3,1,3.4,2.7,-2.4,27,153,24,0,130,Matches
Caleb Kporha,eng ENG,DF,Crystal Palace,18-270,2006,0.1,5,7,71.4,72,21,4,4,100.0,0,2,0.0,1,1,100.0,0,0.0,0.0,0.0,0,0,1,1,0,Matches
Emil Krafth,se SWE,DF,Newcastle Utd,30-252,1994,2.8,67,90,74.4,1115,506,30,41,73.2,32,38,84.2,4,8,50.0,0,0.1,0.0,-0.1,1,3,0,0,2,Matches
Mohammed Kudus,gh GHA,"FW,MF",West Ham,24-252,2000,23.1,572,682,83.9,9372,1440,300,335,89.6,213,232,91.8,46,67,68.7,2,2.2,2.2,-0.2,26,35,24,12,64,Matches
Dejan Kulusevski,se SWE,"MF,FW",Tottenham,24-351,2000,23.9,611,831,73.5,8552,2762,371,431,86.1,183,237,77.2,31,76,40.8,4,6.1,3.8,-2.1,63,59,52,6,118,Matches
Maxence Lacroix,fr FRA,DF,Crystal Palace,25-005,2000,26.9,997,1210,82.4,20627,8236,260,305,85.2,616,675,91.3,115,202,56.9,1,0.4,0.6,+0.6,4,60,2,1,54,Matches
Adam Lallana,eng ENG,MF,Southampton,36-336,1988,4.0,221,260,85.0,2891,980,147,165,89.1,61,67,91.0,4,9,44.4,2,0.9,0.5,+1.1,4,21,9,3,24,Matches
Tariq Lamptey,gh GHA,DF,Brighton,24-193,2000,8.5,314,381,82.4,4884,1213,169,181,93.4,124,155,80.0,18,35,51.4,2,0.8,0.5,+1.2,5,11,5,4,12,Matches
Will Lankshear,eng ENG,"FW,MF",Tottenham,19-356,2005,0.1,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
