Player,Nation,Pos,Squad,shooting_Age,shooting_Born,shooting_90s,shooting_Standard_Gls,shooting_Standard_Sh,shooting_Standard_SoT,shooting_Standard_SoT%,shooting_Standard_Sh/90,shooting_Standard_SoT/90,shooting_Standard_G/Sh,shooting_Standard_G/SoT,shooting_Standard_Dist,shooting_Standard_FK,shooting_Standard_PK,shooting_Standard_PKatt,shooting_Expected_xG,shooting_Expected_npxG,shooting_Expected_npxG/Sh,shooting_Expected_G-xG,shooting_Expected_np:G-xG,shooting_Matches
Dejan Kulusevski,se SWE,"MF,FW",Tottenham,24-351,2000,23.9,7,43,16,37.2,1.80,0.67,0.16,0.44,14.7,0,0,0,4.1,4.1,0.10,+2.9,+2.9,Matches
Maxence Lacroix,fr FRA,DF,Crystal Palace,25-005,2000,26.9,1,25,5,20.0,0.93,0.19,0.04,0.20,11.8,0,0,0,2.8,2.8,0.11,-1.8,-1.8,Matches
Adam Lallana,eng ENG,MF,Southampton,36-336,1988,4.0,0,3,0,0.0,0.75,0.00,0.00,,18.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Tariq Lamptey,gh GHA,DF,Brighton,24-193,2000,8.5,2,6,2,33.3,0.71,0.24,0.33,1.00,18.5,0,0,0,0.4,0.4,0.06,+1.6,+1.6,Matches
Will Lankshear,eng ENG,"FW,MF",Tottenham,19-356,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Roméo Lavia,be BEL,MF,Chelsea,21-095,2004,6.0,0,1,0,0.0,0.17,0.00,0.00,,16.0,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches
Mario Lemina,ga GAB,"MF,DF",Wolves,31-222,1993,15.2,1,18,5,27.8,1.19,0.33,0.06,0.20,21.9,0,0,0,1.4,1.4,0.08,-0.4,-0.4,Matches
Bernd Leno,de GER,GK,Fulham,33-038,1992,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jefferson Lerma,co COL,"MF,DF",Crystal Palace,30-168,1994,19.1,0,23,7,30.4,1.20,0.37,0.00,0.00,19.8,0,0,0,0.9,0.9,0.04,-0.9,-0.9,Matches
Rico Lewis,eng ENG,"DF,MF",Manchester City,20-141,2004,19.1,1,10,2,20.0,0.52,0.10,0.10,0.50,15.8,0,0,0,1.4,1.4,0.14,-0.4,-0.4,Matches
Keane Lewis-Potter,eng ENG,"DF,FW",Brentford,24-048,2001,28.3,1,27,14,51.9,0.95,0.49,0.04,0.07,20.5,1,0,0,2.6,2.6,0.09,-1.6,-1.6,Matches
Myles Lewis-Skelly,eng ENG,DF,Arsenal,18-197,2006,10.3,1,1,1,100.0,0.10,0.10,1.00,1.00,13.9,0,0,0,0.0,0.0,0.04,+1.0,+1.0,Matches
Matthijs de Ligt,nl NED,DF,Manchester Utd,25-242,1999,23.2,2,18,9,50.0,0.78,0.39,0.11,0.22,7.9,0,0,0,2.5,2.5,0.14,-0.5,-0.5,Matches
Pedro Lima,br BRA,DF,Wolves,18-284,2006,0.8,0,1,1,100.0,1.29,1.29,0.00,0.00,22.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Victor Lindelöf,se SWE,DF,Manchester Utd,30-268,1994,3.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jesper Lindstrøm,dk DEN,FW,Everton,25-041,2000,13.8,0,28,10,35.7,2.03,0.73,0.00,0.00,21.0,6,0,0,2.1,2.1,0.08,-2.1,-2.1,Matches
Valentino Livramento,eng ENG,DF,Newcastle Utd,22-150,2002,23.6,0,4,1,25.0,0.17,0.04,0.00,0.00,22.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Sean Longstaff,eng ENG,MF,Newcastle Utd,27-163,1997,8.6,0,6,1,16.7,0.70,0.12,0.00,0.00,13.5,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Matches
Saša Lukić,rs SRB,MF,Fulham,28-241,1996,20.9,0,12,1,8.3,0.57,0.05,0.00,0.00,19.9,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches
Joe Lumley,eng ENG,GK,Southampton,30-055,1995,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Massimo Luongo,au AUS,MF,Ipswich Town,32-198,1992,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ian Maatsen,nl NED,DF,Aston Villa,23-032,2002,7.9,0,10,4,40.0,1.27,0.51,0.00,0.00,25.6,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Alexis Mac Allister,ar ARG,MF,Liverpool,26-108,1998,25.5,4,31,10,32.3,1.22,0.39,0.13,0.40,18.2,0,0,0,2.4,2.4,0.08,+1.6,+1.6,Matches
James Maddison,eng ENG,MF,Tottenham,28-139,1996,18.8,9,38,17,44.7,2.02,0.91,0.24,0.53,16.3,5,0,0,5.8,5.8,0.15,+3.2,+3.2,Matches
Noni Madueke,eng ENG,FW,Chelsea,23-032,2002,17.0,7,65,26,40.0,3.81,1.53,0.11,0.27,14.7,0,0,0,7.7,7.7,0.12,-0.7,-0.7,Matches
Gabriel Magalhães,br BRA,DF,Arsenal,27-113,1997,26.3,3,22,5,22.7,0.84,0.19,0.14,0.60,9.5,0,0,0,2.6,2.6,0.12,+0.4,+0.4,Matches
Edmond-Paris Maghoma,eng ENG,"MF,FW",Brentford,23-338,2001,1.3,0,1,0,0.0,0.76,0.00,0.00,,23.8,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
Harry Maguire,eng ENG,DF,Manchester Utd,32-037,1993,15.8,1,11,4,36.4,0.70,0.25,0.09,0.25,8.1,0,0,0,1.4,1.4,0.13,-0.4,-0.4,Matches
Kobbie Mainoo,eng ENG,MF,Manchester Utd,19-357,2005,14.3,0,10,1,10.0,0.70,0.07,0.00,0.00,20.2,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Tyrell Malacia,nl NED,DF,Manchester Utd,25-237,1999,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Donyell Malen,nl NED,FW,Aston Villa,26-092,1999,2.6,2,9,6,66.7,3.46,2.31,0.22,0.33,15.6,0,0,0,1.4,1.4,0.15,+0.6,+0.6,Matches
Orel Mangala,be BEL,MF,Everton,27-024,1998,14.0,1,16,6,37.5,1.14,0.43,0.06,0.17,22.1,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches
Ryan Manning,ie IRL,DF,Southampton,28-301,1996,12.4,0,5,0,0.0,0.40,0.00,0.00,,18.6,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Solly March,eng ENG,"MF,FW",Brighton,30-265,1994,0.7,0,1,0,0.0,1.53,0.00,0.00,,18.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Omar Marmoush,eg EGY,"FW,MF",Manchester City,26-063,1999,7.3,5,27,12,44.4,3.71,1.65,0.19,0.42,20.2,5,0,0,2.8,2.8,0.10,+2.2,+2.2,Matches
Gabriel Martinelli,br BRA,"FW,MF",Arsenal,23-297,2001,18.9,6,36,17,47.2,1.90,0.90,0.17,0.35,12.3,0,0,0,4.9,4.9,0.14,+1.1,+1.1,Matches
Emiliano Martínez,ar ARG,GK,Aston Villa,32-221,1992,29.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lisandro Martínez,ar ARG,DF,Manchester Utd,27-083,1998,19.5,2,17,6,35.3,0.87,0.31,0.12,0.33,15.9,0,0,0,1.3,1.3,0.08,+0.7,+0.7,Matches
Pape Matar Sarr,sn SEN,MF,Tottenham,22-209,2002,16.2,3,27,12,44.4,1.67,0.74,0.11,0.25,21.2,0,0,0,3.1,3.1,0.12,-0.1,-0.1,Matches
Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,27-287,1997,25.1,13,55,23,41.8,2.19,0.92,0.20,0.48,15.4,0,2,2,11.6,10.0,0.18,+1.4,+1.0,Matches
Stephy Mavididi,eng ENG,FW,Leicester City,26-315,1998,16.0,3,22,6,27.3,1.37,0.37,0.14,0.50,15.8,1,0,0,1.6,1.6,0.07,+1.4,+1.4,Matches
Konstantinos Mavropanos,gr GRE,DF,West Ham,27-121,1997,19.5,0,16,5,31.3,0.82,0.26,0.00,0.00,15.4,0,0,0,1.2,1.2,0.07,-1.2,-1.2,Matches
Noussair Mazraoui,ma MAR,DF,Manchester Utd,27-148,1997,26.6,0,12,3,25.0,0.45,0.11,0.00,0.00,20.8,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
Bryan Mbeumo,cm CMR,FW,Brentford,25-247,1999,30.9,16,62,28,45.2,2.00,0.91,0.18,0.39,17.8,6,5,5,10.0,6.0,0.10,+6.0,+5.0,Matches
James Mcatee,eng ENG,"MF,FW",Manchester City,22-175,2002,1.6,2,7,2,28.6,4.41,1.26,0.29,1.00,14.7,0,0,0,1.4,1.4,0.20,+0.6,+0.6,Matches
Kasey McAteer,ie IRL,"FW,MF",Leicester City,23-140,2001,4.4,0,6,2,33.3,1.37,0.46,0.00,0.00,15.8,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
Alex McCarthy,eng ENG,GK,Southampton,35-129,1989,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
John McGinn,sct SCO,"MF,FW",Aston Villa,30-175,1994,20.9,0,23,2,8.7,1.10,0.10,0.00,0.00,16.9,1,0,0,2.2,2.2,0.10,-2.2,-2.2,Matches
Dwight McNeil,eng ENG,"MF,FW",Everton,25-140,1999,12.7,3,23,8,34.8,1.81,0.63,0.13,0.38,22.0,0,0,0,0.9,0.9,0.04,+2.1,+2.1,Matches
Scott McTominay,sct SCO,MF,Manchester Utd,28-124,1996,0.2,0,1,0,0.0,4.74,0.00,0.00,,10.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Ben Mee,eng ENG,DF,Brentford,35-202,1989,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jayden Meghoma,eng ENG,DF,Brentford,18-287,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mikel Merino,es ESP,"MF,FW",Arsenal,28-293,1996,14.8,6,29,12,41.4,1.96,0.81,0.21,0.50,10.8,0,0,0,3.9,3.9,0.13,+2.1,+2.1,Matches
Shumaira Mheuka,eng ENG,MF,Chelsea,17-173,2007,0.0,0,1,1,100.0,90.00,90.00,0.00,0.00,7.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Nikola Milenković,rs SRB,DF,Nott'ham Forest,27-181,1997,30.0,4,26,7,26.9,0.87,0.23,0.15,0.57,12.1,0,0,0,3.6,3.6,0.14,+0.4,+0.4,Matches
Lewis Miley,eng ENG,MF,Newcastle Utd,18-345,2006,2.4,1,3,2,66.7,1.23,0.82,0.33,0.50,14.6,0,0,0,0.5,0.5,0.18,+0.5,+0.5,Matches
James Milner,eng ENG,MF,Brighton,39-097,1986,1.9,0,2,0,0.0,1.07,0.00,0.00,,16.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Tyrone Mings,eng ENG,DF,Aston Villa,32-029,1993,9.7,0,6,1,16.7,0.62,0.10,0.00,0.00,8.1,0,0,0,0.7,0.7,0.12,-0.7,-0.7,Matches
Yankuba Minteh,gm GAM,"FW,MF",Brighton,20-263,2004,14.9,5,26,13,50.0,1.75,0.88,0.19,0.38,14.3,0,0,0,3.3,3.3,0.13,+1.7,+1.7,Matches
Tyrick Mitchell,eng ENG,DF,Crystal Palace,25-222,1999,28.0,0,11,2,18.2,0.39,0.07,0.00,0.00,13.4,0,0,0,1.2,1.2,0.11,-1.2,-1.2,Matches
Kaoru Mitoma,jp JPN,"FW,MF",Brighton,27-326,1997,27.4,7,50,23,46.0,1.82,0.84,0.14,0.30,14.1,0,0,0,7.5,7.5,0.15,-0.5,-0.5,Matches
Jakub Moder,pl POL,MF,Brighton,26-004,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jeremy Monga,,FW,Leicester City,,,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mikey Moore,eng ENG,"FW,MF",Tottenham,17-243,2007,2.1,0,3,0,0.0,1.46,0.00,0.00,,19.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Morato,br BRA,DF,Nott'ham Forest,23-285,2001,8.4,0,2,1,50.0,0.24,0.12,0.00,0.00,8.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
Álex Moreno,es ESP,"DF,MF",Nott'ham Forest,31-307,1993,9.6,0,6,0,0.0,0.62,0.00,0.00,,23.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Sam Morsy,eg EGY,MF,Ipswich Town,33-213,1991,23.9,1,9,2,22.2,0.38,0.08,0.11,0.50,26.3,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
Yerson Mosquera,co COL,DF,Wolves,23-344,2001,4.9,0,2,0,0.0,0.41,0.00,0.00,,12.4,0,0,0,0.3,0.3,0.17,-0.3,-0.3,Matches
Mason Mount,eng ENG,"MF,FW",Manchester Utd,26-091,1999,3.1,0,5,2,40.0,1.61,0.64,0.00,0.00,17.2,0,0,0,0.7,0.7,0.14,-0.7,-0.7,Matches
Divin Mubama,eng ENG,FW,Manchester City,20-168,2004,0.3,0,1,0,0.0,3.21,0.00,0.00,,17.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Mykhailo Mudryk,ua UKR,FW,Chelsea,24-096,2001,1.7,0,1,1,100.0,0.60,0.60,0.00,0.00,11.6,0,0,0,0.3,0.3,0.25,-0.3,-0.3,Matches
Marshall Munetsi,zw ZIM,"MF,FW",Wolves,28-293,1996,5.8,1,14,4,28.6,2.43,0.69,0.07,0.25,15.1,0,0,0,2.8,2.8,0.20,-1.8,-1.8,Matches
Rodrigo Muniz,br BRA,FW,Fulham,23-342,2001,10.1,8,36,17,47.2,3.57,1.69,0.22,0.47,12.0,0,0,0,5.5,5.5,0.15,+2.5,+2.5,Matches
Daniel Muñoz,co COL,DF,Crystal Palace,28-320,1996,27.9,4,30,12,40.0,1.08,0.43,0.13,0.33,12.9,0,0,0,4.2,4.2,0.14,-0.2,-0.2,Matches
Arijanet Muric,xk KVX,GK,Ipswich Town,26-155,1998,18.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Murillo,br BRA,DF,Nott'ham Forest,22-281,2002,29.5,1,20,4,20.0,0.68,0.14,0.05,0.25,24.3,3,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches
Jacob Murphy,eng ENG,FW,Newcastle Utd,30-046,1995,20.2,7,37,14,37.8,1.83,0.69,0.19,0.50,17.8,0,0,0,5.5,5.5,0.15,+1.5,+1.5,Matches
Vitaliy Mykolenko,ua UKR,DF,Everton,25-317,1999,27.2,0,11,0,0.0,0.40,0.00,0.00,,20.9,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Iliman Ndiaye,sn SEN,FW,Everton,25-036,2000,21.9,7,26,10,38.5,1.19,0.46,0.19,0.50,17.6,0,2,2,4.5,2.9,0.11,+2.5,+2.1,Matches
Wilfred Ndidi,ng NGA,MF,Leicester City,28-116,1996,20.3,0,17,8,47.1,0.84,0.39,0.00,0.00,14.8,0,0,0,1.6,1.6,0.10,-1.6,-1.6,Matches
Kosta Nedeljković,rs SRB,DF,Aston Villa,19-116,2005,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Reiss Nelson,eng ENG,FW,Arsenal,25-122,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Reiss Nelson,eng ENG,FW,Fulham,25-122,1999,5.4,1,12,6,50.0,2.22,1.11,0.08,0.17,15.4,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Matches
Neto,br BRA,GK,Bournemouth,35-266,1989,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Pedro Neto,pt POR,FW,Chelsea,25-033,2000,18.4,3,43,12,27.9,2.34,0.65,0.07,0.25,18.8,0,0,0,2.3,2.3,0.05,+0.7,+0.7,Matches
Eddie Nketiah,eng ENG,"FW,MF",Crystal Palace,25-316,1999,8.3,1,31,11,35.5,3.72,1.32,0.03,0.09,15.1,0,0,0,3.5,3.5,0.11,-2.5,-2.5,Matches
Christopher Nkunku,fr FRA,FW,Chelsea,27-148,1997,10.2,3,25,11,44.0,2.45,1.08,0.12,0.27,12.6,0,0,0,4.8,4.8,0.19,-1.8,-1.8,Matches
Matheus Nunes,pt POR,"DF,MF",Manchester City,26-227,1998,13.6,0,5,1,20.0,0.37,0.07,0.00,0.00,18.4,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
Darwin Núñez,uy URU,FW,Liverpool,25-291,1999,11.2,5,31,12,38.7,2.76,1.07,0.16,0.42,14.3,0,0,0,5.0,5.0,0.16,0.0,0.0,Matches
Ethan Nwaneri,eng ENG,"FW,MF",Arsenal,18-021,2007,8.0,3,19,7,36.8,2.39,0.88,0.16,0.43,18.8,1,0,0,0.9,0.9,0.05,+2.1,+2.1,Matches
Christian Nørgaard,dk DEN,MF,Brentford,31-032,1994,24.3,4,30,10,33.3,1.23,0.41,0.13,0.40,15.1,0,0,0,3.2,3.2,0.11,+0.8,+0.8,Matches
Jake O'Brien,ie IRL,DF,Everton,23-331,2001,11.5,2,4,3,75.0,0.35,0.26,0.50,0.67,11.4,0,0,0,0.7,0.7,0.17,+1.3,+1.3,Matches
Matt O'Riley,dk DEN,MF,Brighton,24-141,2000,6.0,1,14,4,28.6,2.32,0.66,0.07,0.25,17.3,1,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
Dara O'Shea,ie IRL,DF,Ipswich Town,26-038,1999,27.7,0,17,2,11.8,0.61,0.07,0.00,0.00,10.7,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
Chidozie Obi-Martin,dk DEN,FW,Manchester Utd,17-133,2007,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Wilson Odobert,fr FRA,FW,Tottenham,20-134,2004,5.0,0,9,1,11.1,1.80,0.20,0.00,0.00,16.5,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
Chiedozie Ogbene,ie IRL,FW,Ipswich Town,27-345,1997,2.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Caleb Okoli,it ITA,DF,Leicester City,23-272,2001,11.5,0,3,1,33.3,0.26,0.09,0.00,0.00,16.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Robin Olsen,se SWE,GK,Aston Villa,35-093,1990,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Amadou Onana,be BEL,MF,Aston Villa,23-238,2001,13.0,2,14,4,28.6,1.08,0.31,0.14,0.50,13.8,0,0,0,1.8,1.8,0.13,+0.2,+0.2,Matches
André Onana,cm CMR,GK,Manchester Utd,29-009,1996,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Paul Onuachu,ng NGA,FW,Southampton,30-318,1994,9.7,4,29,14,48.3,3.00,1.45,0.14,0.29,10.4,0,0,0,3.2,3.2,0.11,+0.8,+0.8,Matches
Frank Onyeka,ng NGA,MF,Brentford,27-100,1998,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lewis Orford,eng ENG,MF,West Ham,19-052,2006,0.5,0,1,0,0.0,1.84,0.00,0.00,,12.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Stefan Ortega,de GER,GK,Manchester City,32-156,1992,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
William Osula,dk DEN,FW,Newcastle Utd,21-250,2003,1.0,0,1,0,0.0,1.00,0.00,0.00,,13.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Dango Ouattara,bf BFA,FW,Bournemouth,23-059,2002,18.7,7,55,17,30.9,2.94,0.91,0.13,0.41,13.4,0,0,0,7.7,7.7,0.14,-0.7,-0.7,Matches
Nico O’Reilly,eng ENG,"DF,MF",Manchester City,20-021,2005,2.1,0,2,0,0.0,0.97,0.00,0.00,,23.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Alex Palmer,eng ENG,GK,Ipswich Town,28-244,1996,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Cole Palmer,eng ENG,MF,Chelsea,22-340,2002,28.5,14,103,38,36.9,3.62,1.33,0.11,0.29,20.3,12,3,4,15.5,12.3,0.12,-1.5,-1.3,Matches
Emerson Palmieri,it ITA,DF,West Ham,30-251,1994,20.6,2,14,7,50.0,0.68,0.34,0.14,0.29,18.8,3,0,0,1.8,1.8,0.13,+0.2,+0.2,Matches
Lucas Paquetá,br BRA,"MF,FW",West Ham,27-227,1997,22.1,4,36,3,8.3,1.63,0.14,0.06,0.67,19.5,4,2,2,5.1,3.5,0.10,-1.1,-1.5,Matches
Thomas Partey,gh GHA,"MF,DF",Arsenal,31-302,1993,25.3,3,22,6,27.3,0.87,0.24,0.14,0.50,19.8,0,0,0,1.8,1.8,0.08,+1.2,+1.2,Matches
Nathan Patterson,sct SCO,"DF,FW",Everton,23-177,2001,2.3,0,1,0,0.0,0.44,0.00,0.00,,16.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Andreas Pereira,br BRA,MF,Fulham,29-100,1996,18.6,2,32,8,25.0,1.72,0.43,0.06,0.25,21.8,5,0,1,3.4,2.6,0.08,-1.4,-0.6,Matches
Ricardo Pereira,pt POR,DF,Leicester City,31-187,1993,2.1,0,2,1,50.0,0.97,0.49,0.00,0.00,17.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Kalvin Phillips,eng ENG,MF,Ipswich Town,29-130,1995,13.5,0,10,2,20.0,0.74,0.15,0.00,0.00,24.2,3,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Jaden Philogene Bidace,eng ENG,"FW,MF",Aston Villa,23-062,2002,3.7,0,7,0,0.0,1.90,0.00,0.00,,16.0,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Jaden Philogene Bidace,eng ENG,"FW,DF",Ipswich Town,23-062,2002,5.2,2,12,5,41.7,2.30,0.96,0.17,0.40,16.4,0,0,0,2.0,2.0,0.17,0.0,0.0,Matches
Jordan Pickford,eng ENG,GK,Everton,31-035,1994,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ethan Pinnock,jm JAM,DF,Brentford,31-317,1993,21.3,2,10,6,60.0,0.47,0.28,0.20,0.33,11.1,0,0,0,1.1,1.1,0.11,+0.9,+0.9,Matches
Daniel Podence,pt POR,"MF,FW",Wolves,29-172,1995,0.5,0,1,0,0.0,1.87,0.00,0.00,,24.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Alfie Pond,eng ENG,DF,Wolves,21-041,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Nick Pope,eng ENG,GK,Newcastle Utd,32-357,1992,20.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Pedro Porro,es ESP,DF,Tottenham,25-210,1999,26.4,2,36,8,22.2,1.37,0.30,0.06,0.25,23.0,3,0,0,1.5,1.5,0.04,+0.5,+0.5,Matches
Jarell Quansah,eng ENG,DF,Liverpool,22-072,2003,3.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Hákon Rafn Valdimarsson,is ISL,GK,Brentford,23-180,2001,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Aaron Ramsdale,eng ENG,GK,Southampton,26-332,1998,23.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,23-318,2001,14.9,1,15,4,26.7,1.01,0.27,0.07,0.25,16.0,0,0,0,1.3,1.3,0.09,-0.3,-0.3,Matches
Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,27-162,1997,10.9,4,16,9,56.3,1.47,0.83,0.25,0.44,16.4,0,0,0,1.7,1.7,0.11,+2.3,+2.3,Matches
Marcus Rashford,eng ENG,FW,Aston Villa,27-162,1997,3.3,1,11,3,27.3,3.36,0.92,0.09,0.33,18.7,1,0,0,1.4,1.4,0.13,-0.4,-0.4,Matches
David Raya,es ESP,GK,Arsenal,29-208,1995,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Harrison Reed,eng ENG,MF,Fulham,30-074,1995,1.0,0,3,2,66.7,2.90,1.94,0.00,0.00,21.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Remy Rees-Dottin,eng ENG,FW,Bournemouth,19-036,2006,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Sergio Reguilón,es ESP,DF,Tottenham,28-116,1996,1.4,0,1,0,0.0,0.73,0.00,0.00,,5.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Bobby Reid,jm JAM,"FW,MF",Leicester City,32-068,1993,7.1,1,6,3,50.0,0.85,0.42,0.17,0.33,26.4,0,0,0,0.8,0.8,0.13,+0.2,+0.2,Matches
Vitor Reis,br BRA,DF,Manchester City,19-089,2006,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Chadi Riad,ma MAR,DF,Crystal Palace,21-298,2003,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Declan Rice,eng ENG,MF,Arsenal,26-087,1999,26.0,2,38,9,23.7,1.46,0.35,0.05,0.22,19.9,2,0,0,2.6,2.6,0.07,-0.6,-0.6,Matches
Chris Richards,us USA,DF,Crystal Palace,25-014,2000,14.9,0,8,4,50.0,0.54,0.27,0.00,0.00,13.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
Richarlison,br BRA,FW,Tottenham,27-336,1997,3.1,2,6,3,50.0,1.94,0.97,0.33,0.67,8.4,0,0,0,1.2,1.2,0.20,+0.8,+0.8,Matches
Andrew Robertson,sct SCO,DF,Liverpool,31-031,1994,24.3,0,12,2,16.7,0.49,0.08,0.00,0.00,15.0,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
Antonee Robinson,us USA,DF,Fulham,27-246,1997,30.2,0,16,2,12.5,0.53,0.07,0.00,0.00,22.1,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
Rodri,es ESP,MF,Manchester City,28-293,1996,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Guido Rodríguez,ar ARG,MF,West Ham,30-364,1994,11.3,0,8,1,12.5,0.71,0.09,0.00,0.00,27.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Mads Roerslev,dk DEN,DF,Brentford,25-291,1999,12.2,0,5,2,40.0,0.41,0.16,0.00,0.00,20.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
