Player,Nation,Pos,Squad,shooting_Age,shooting_Born,shooting_90s,shooting_Standard_Gls,shooting_Standard_Sh,shooting_Standard_SoT,shooting_Standard_SoT%,shooting_Standard_Sh/90,shooting_Standard_SoT/90,shooting_Standard_G/Sh,shooting_Standard_G/SoT,shooting_Standard_Dist,shooting_Standard_FK,shooting_Standard_PK,shooting_Standard_PKatt,shooting_Expected_xG,shooting_Expected_npxG,shooting_Expected_npxG/Sh,shooting_Expected_G-xG,shooting_Expected_np:G-xG,shooting_Matches
Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-139,2000,9.9,0,13,2,15.4,1.31,0.20,0.00,0.00,18.5,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,34-006,1991,5.1,0,1,0,0.0,0.20,0.00,0.00,,32.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Conor Coady,eng ENG,DF,Leicester City,32-045,1993,12.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Séamus Coleman,ie IRL,DF,Everton,36-182,1988,2.2,0,1,1,100.0,0.46,0.46,0.00,0.00,10.5,0,0,0,0.6,0.6,0.57,-0.6,-0.6,Matches
Nathan Collins,ie IRL,DF,Brentford,23-346,2001,31.0,2,15,5,33.3,0.48,0.16,0.13,0.40,11.2,0,0,0,2.3,2.3,0.15,-0.3,-0.3,Matches
Toby Collyer,eng ENG,MF,Manchester Utd,21-098,2004,2.0,0,1,0,0.0,0.50,0.00,0.00,,6.2,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches
Levi Colwill,eng ENG,DF,Chelsea,22-044,2003,28.0,1,10,2,20.0,0.36,0.07,0.10,0.50,8.8,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Matches
Lewis Cook,eng ENG,"MF,DF",Bournemouth,28-067,1997,28.6,1,13,4,30.8,0.45,0.14,0.08,0.25,23.7,1,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches
Maxwel Cornet,ci CIV,FW,Southampton,28-196,1996,0.8,0,1,0,0.0,1.25,0.00,0.00,,18.8,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches
Vladimír Coufal,cz CZE,DF,West Ham,32-232,1992,8.2,0,4,1,25.0,0.49,0.12,0.00,0.00,16.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Woyo Coulibaly,fr FRA,DF,Leicester City,25-326,1999,1.2,0,2,1,50.0,1.65,0.83,0.00,0.00,19.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Aaron Cresswell,eng ENG,DF,West Ham,35-117,1989,6.5,0,3,0,0.0,0.46,0.00,0.00,,29.8,2,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Marc Cucurella,es ESP,DF,Chelsea,26-263,1998,26.2,4,17,7,41.2,0.65,0.27,0.24,0.57,16.1,0,0,0,2.2,2.2,0.13,+1.8,+1.8,Matches
Jorge Cuenca,es ESP,DF,Fulham,25-145,1999,2.9,0,1,0,0.0,0.35,0.00,0.00,,13.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Matheus Cunha,br BRA,"MF,FW",Wolves,25-319,1999,23.8,13,86,35,40.7,3.61,1.47,0.15,0.37,20.6,10,0,0,6.7,6.7,0.08,+6.3,+6.3,Matches
Patson Daka,zm ZAM,"FW,MF",Leicester City,26-184,1998,6.5,1,11,2,18.2,1.69,0.31,0.09,0.50,16.7,0,0,0,0.8,0.8,0.07,+0.2,+0.2,Matches
Diogo Dalot,pt POR,DF,Manchester Utd,26-024,1999,29.6,0,23,5,21.7,0.78,0.17,0.00,0.00,15.6,0,0,0,2.0,2.0,0.09,-2.0,-2.0,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-282,2000,25.9,2,30,7,23.3,1.16,0.27,0.07,0.29,17.1,3,0,0,2.6,2.6,0.09,-0.6,-0.6,Matches
Danilo,br BRA,"MF,FW",Nott'ham Forest,23-347,2001,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jayden Danns,eng ENG,MF,Liverpool,19-085,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Kevin Danso,at AUT,DF,Tottenham,26-204,1998,3.9,0,4,2,50.0,1.04,0.52,0.00,0.00,11.3,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
Ben Davies,wls WAL,DF,Tottenham,31-352,1993,9.0,0,3,1,33.3,0.33,0.11,0.00,0.00,14.2,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Leif Davis,eng ENG,DF,Ipswich Town,25-089,2000,27.5,1,14,2,14.3,0.51,0.07,0.07,0.50,20.4,2,0,0,0.9,0.9,0.06,+0.1,+0.1,Matches
Craig Dawson,eng ENG,DF,Wolves,34-340,1990,10.8,0,5,1,20.0,0.46,0.09,0.00,0.00,8.5,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches
Kevin De Bruyne,be BEL,MF,Manchester City,33-287,1991,13.3,2,39,11,28.2,2.94,0.83,0.05,0.18,22.5,5,0,0,2.7,2.7,0.07,-0.7,-0.7,Matches
Liam Delap,eng ENG,FW,Ipswich Town,22-062,2003,25.8,12,58,26,44.8,2.25,1.01,0.17,0.38,15.9,0,2,2,9.0,7.4,0.13,+3.0,+2.6,Matches
Sepp van den Berg,nl NED,DF,Brentford,23-112,2001,21.7,0,13,4,30.8,0.60,0.18,0.00,0.00,11.3,0,0,0,1.3,1.3,0.10,-1.3,-1.3,Matches
Justin Devenny,nir NIR,MF,Crystal Palace,21-182,2003,3.7,1,7,3,42.9,1.90,0.81,0.14,0.33,22.7,1,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,26-217,1998,2.9,0,1,0,0.0,0.35,0.00,0.00,,7.8,0,0,0,0.2,0.2,0.22,-0.2,-0.2,Matches
Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-274,2002,17.7,6,40,13,32.5,2.26,0.73,0.15,0.46,17.7,0,0,0,4.1,4.1,0.10,+1.9,+1.9,Matches
Rúben Dias,pt POR,DF,Manchester City,27-332,1997,18.2,0,15,4,26.7,0.82,0.22,0.00,0.00,19.5,0,0,0,1.3,1.3,0.08,-1.3,-1.3,Matches
Luis Díaz,co COL,FW,Liverpool,28-088,1997,21.9,10,58,24,41.4,2.65,1.10,0.17,0.42,14.1,0,0,0,8.1,8.1,0.14,+1.9,+1.9,Matches
Tyler Dibling,eng ENG,"FW,MF",Southampton,19-030,2006,18.0,2,27,9,33.3,1.50,0.50,0.07,0.22,19.7,0,0,0,2.4,2.4,0.09,-0.4,-0.4,Matches
Lucas Digne,fr FRA,DF,Aston Villa,31-265,1993,23.9,0,13,3,23.1,0.54,0.13,0.00,0.00,22.7,5,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
Issa Diop,fr FRA,DF,Fulham,28-092,1997,14.9,0,5,2,40.0,0.34,0.13,0.00,0.00,10.7,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
Axel Disasi,fr FRA,DF,Aston Villa,27-031,1998,5.1,0,2,0,0.0,0.39,0.00,0.00,,19.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Axel Disasi,fr FRA,DF,Chelsea,27-031,1998,4.0,1,2,1,50.0,0.49,0.25,0.50,1.00,12.3,0,0,0,0.3,0.3,0.14,+0.7,+0.7,Matches
Roman Dixon,eng ENG,DF,Everton,20-106,2004,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Nasser Djiga,bf BFA,DF,Wolves,22-147,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Matt Doherty,ie IRL,DF,Wolves,33-085,1992,19.6,2,10,3,30.0,0.51,0.15,0.20,0.67,11.4,0,0,0,1.0,1.0,0.10,+1.0,+1.0,Matches
Jeremy Doku,be BEL,"FW,MF",Manchester City,22-319,2002,14.1,3,23,9,39.1,1.63,0.64,0.13,0.33,18.3,0,0,0,1.0,1.0,0.04,+2.0,+2.0,Matches
Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-287,1998,16.6,0,17,7,41.2,1.02,0.42,0.00,0.00,18.5,0,0,0,1.4,1.4,0.08,-1.4,-1.4,Matches
