Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Willian,br BRA,"MF,FW",Fulham,36-244,1988,1.7,135,1,16,51,72,4,135,4,0,0.0,3,75.0,86,602,313,5,4,2,3,1,106,15,Matches
Joe Willock,eng ENG,"MF,FW",Newcastle Utd,25-233,1999,9.4,408,10,61,169,185,36,408,31,11,35.5,14,45.2,255,1730,801,30,22,11,31,22,286,68,Matches
Callum Wilson,eng ENG,FW,Newcastle Utd,33-042,1992,2.3,58,1,5,33,23,12,58,5,1,20.0,2,40.0,30,182,86,4,4,4,6,7,33,7,Matches
Harry Wilson,wls WAL,"FW,MF",Fulham,28-019,1997,9.3,436,7,58,160,226,44,436,23,9,39.1,9,39.1,263,1376,610,16,17,8,13,4,295,71,Matches
Harry Winks,eng ENG,MF,Leicester City,29-067,1996,17.1,1158,49,275,746,151,1,1158,12,3,25.0,8,66.7,696,3268,1522,19,13,0,13,8,827,11,Matches
Ben Winterburn,eng ENG,"FW,MF",Bournemouth,20-218,2004,0.3,9,0,2,5,2,1,9,0,0,,0,,6,50,40,2,0,1,0,0,6,2,Matches
Yoane Wissa,cd COD,FW,Brentford,28-219,1996,25.4,755,27,115,308,345,130,755,40,12,30.0,19,47.5,444,2663,1220,45,17,25,58,25,537,126,Matches
Chris Wood,nz NZL,FW,Nott'ham Forest,33-124,1991,26.0,605,30,70,289,248,78,602,10,4,40.0,5,50.0,303,1083,424,13,9,5,62,21,452,72,Matches
Nathan Wood-Gordon,eng ENG,DF,Southampton,22-314,2002,6.9,457,54,219,212,27,2,457,5,3,60.0,1,20.0,253,1150,454,2,6,0,4,1,339,0,Matches
Luke Woolfenden,eng ENG,DF,Ipswich Town,26-171,1998,11.2,608,126,345,254,9,3,608,0,0,,0,,331,1900,1111,7,3,0,4,0,389,0,Matches
Yehor Yarmoliuk,ua UKR,MF,Brentford,21-040,2004,10.5,649,42,176,329,158,14,649,20,9,45.0,9,45.0,327,1809,575,12,14,2,19,15,393,40,Matches
Ryan Yates,eng ENG,MF,Nott'ham Forest,27-140,1997,19.2,929,70,244,456,239,37,929,18,9,50.0,5,27.8,378,1848,849,17,18,1,22,18,486,12,Matches
Leny Yoro,fr FRA,DF,Manchester Utd,19-148,2005,9.7,663,56,296,318,51,10,663,2,1,50.0,1,50.0,465,2304,1250,15,10,1,2,2,496,4,Matches
Ashley Young,eng ENG,"DF,FW",Everton,39-275,1985,17.6,1015,51,311,433,276,9,1015,14,5,35.7,7,50.0,397,2047,1176,19,24,1,8,1,513,25,Matches
Illia Zabarnyi,ua UKR,DF,Bournemouth,22-221,2002,28.1,1652,196,790,829,52,11,1652,8,5,62.5,2,25.0,1023,6487,3836,18,14,0,14,3,1020,3,Matches
Oleksandr Zinchenko,ua UKR,"DF,MF",Arsenal,28-116,1996,3.3,263,10,57,144,63,14,263,2,1,50.0,0,0.0,144,771,331,7,3,2,2,2,169,7,Matches
Joshua Zirkzee,nl NED,"FW,MF",Manchester Utd,23-323,2001,15.0,565,16,69,291,211,53,565,33,9,27.3,24,72.7,316,1393,471,13,20,4,40,29,402,69,Matches
