Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Harvey Elliott,eng ENG,"MF,FW",Liverpool,22-006,2003,1.8,191,2,18,81,93,13,191,5,2,40.0,3,60.0,113,509,249,7,6,5,2,2,145,20,Matches
Yunus Emre Konak,tr TUR,"FW,MF",Brentford,19-090,2006,0.3,39,0,6,20,13,0,39,2,0,0.0,2,100.0,13,57,36,1,0,1,2,3,21,1,Matches
Julio Enciso,py PAR,"FW,MF",Ipswich Town,21-077,2004,4.8,218,2,24,109,92,10,218,27,16,59.3,11,40.7,106,777,456,11,13,4,10,18,150,24,Matches
Julio Enciso,py PAR,"MF,FW",Brighton,21-077,2004,3.3,202,2,17,72,116,20,202,21,10,47.6,8,38.1,114,678,386,11,10,4,7,9,141,17,Matches
Wataru Endo,jp JPN,MF,Liverpool,32-060,1993,1.6,111,4,25,69,18,2,111,1,1,100.0,0,0.0,48,174,47,0,0,1,5,2,71,1,Matches
Christian Eriksen,dk DEN,MF,Manchester Utd,33-055,1992,9.0,618,20,124,314,184,11,618,3,0,0.0,3,100.0,348,1258,545,8,8,0,6,4,408,23,Matches
Romain Esse,eng ENG,MF,Crystal Palace,19-332,2005,0.1,7,0,1,3,3,2,7,0,0,,0,,3,17,1,0,0,0,0,0,4,2,Matches
Pervis Estupiñán,ec ECU,DF,Brighton,27-079,1998,20.7,1482,61,372,740,384,24,1482,27,13,48.1,13,48.1,767,3702,1985,48,36,7,25,23,898,93,Matches
Evanilson,br BRA,FW,Bournemouth,25-186,1999,19.1,408,15,31,154,225,101,407,19,6,31.6,7,36.8,249,1355,637,24,13,13,28,19,291,79,Matches
Jonny Evans,nir NIR,DF,Manchester Utd,37-097,1988,3.2,223,30,125,91,11,2,223,1,1,100.0,0,0.0,128,498,183,1,0,0,1,0,137,2,Matches
Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-285,1998,23.3,1200,13,155,563,511,78,1200,119,56,47.1,57,47.9,722,4428,2072,62,41,20,42,40,788,135,Matches
Łukasz Fabiański,pl POL,GK,West Ham,39-357,1985,11.9,488,382,483,5,0,0,488,2,2,100.0,0,0.0,258,1371,845,0,0,0,0,0,227,0,Matches
Wout Faes,be BEL,DF,Leicester City,27-007,1998,25.3,1531,246,744,730,65,26,1531,5,4,80.0,1,20.0,873,4107,2433,11,12,2,15,5,998,1,Matches
Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,21-033,2004,6.4,326,19,73,114,157,26,326,69,29,42.0,28,40.6,217,1869,1055,42,24,15,18,12,216,60,Matches
João Félix,pt POR,"FW,MF",Chelsea,25-151,1999,4.1,272,2,26,128,125,30,272,31,10,32.3,14,45.2,193,1248,712,21,13,5,6,4,218,30,Matches
Evan Ferguson,ie IRL,FW,West Ham,20-173,2004,1.6,61,1,6,26,29,10,61,5,3,60.0,2,40.0,31,123,41,1,1,1,8,5,40,6,Matches
Evan Ferguson,ie IRL,FW,Brighton,20-173,2004,2.7,88,7,13,50,26,9,88,2,1,50.0,1,50.0,42,183,56,2,1,2,5,6,52,9,Matches
Bruno Fernandes,pt POR,MF,Manchester Utd,30-214,1994,28.4,2187,53,364,1034,811,68,2184,61,25,41.0,30,49.2,1283,6030,3139,60,53,10,35,35,1528,112,Matches
Mateus Fernandes,pt POR,MF,Southampton,20-274,2004,25.8,1427,50,300,706,452,43,1427,90,43,47.8,40,44.4,737,4715,2546,65,55,8,42,29,881,91,Matches
Enzo Fernández,ar ARG,MF,Chelsea,24-083,2001,25.8,1822,31,288,933,613,68,1822,43,21,48.8,15,34.9,981,4400,2188,47,46,7,25,26,1331,93,Matches
Mark Flekken,nl NED,GK,Brentford,31-301,1993,29.4,1515,1184,1471,49,0,0,1515,1,1,100.0,0,0.0,928,4676,2666,0,0,0,2,0,850,0,Matches
Phil Foden,eng ENG,"MF,FW",Manchester City,24-317,2000,18.7,1074,13,81,374,628,79,1074,39,13,33.3,21,53.8,676,3472,1674,47,30,15,35,30,840,119,Matches
Wesley Fofana,fr FRA,DF,Chelsea,24-114,2000,13.0,933,81,370,523,55,10,933,15,8,53.3,3,20.0,557,3149,1614,19,12,1,16,5,665,4,Matches
Carlos Forbs,pt POR,"MF,FW",Wolves,21-022,2004,2.6,117,3,20,38,60,13,117,12,7,58.3,5,41.7,72,435,297,9,3,8,7,4,82,28,Matches
Fraser Forster,eng ENG,GK,Tottenham,37-024,1988,7.0,228,212,228,0,0,0,228,1,1,100.0,0,0.0,113,501,264,0,0,0,1,0,94,0,Matches
Matheus França,br BRA,"MF,DF",Crystal Palace,21-009,2004,0.2,8,0,0,3,5,2,8,0,0,,0,,7,29,15,1,0,1,1,0,6,1,Matches
Ryan Fraser,sct SCO,"FW,DF",Southampton,31-045,1994,3.4,131,12,45,50,37,3,131,3,2,66.7,1,33.3,74,492,252,10,5,2,4,2,94,18,Matches
Niclas Füllkrug,de GER,FW,West Ham,32-060,1993,5.0,152,10,13,77,62,24,152,4,1,25.0,3,75.0,55,205,110,4,2,2,11,3,106,15,Matches
Cody Gakpo,nl NED,FW,Liverpool,25-338,1999,16.3,685,20,64,201,434,79,685,47,27,57.4,15,31.9,457,3192,1601,40,25,18,34,17,515,216,Matches
Idrissa Gana Gueye,sn SEN,MF,Everton,35-196,1989,27.2,1425,63,350,803,278,19,1425,35,17,48.6,16,45.7,663,3052,1327,20,21,4,25,32,817,21,Matches
Andrés García,es ESP,"DF,MF",Aston Villa,22-062,2003,3.5,248,6,36,104,110,2,248,18,5,27.8,12,66.7,155,1230,658,25,13,2,10,6,162,27,Matches
Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,20-283,2004,20.2,948,13,110,308,546,139,948,74,21,28.4,46,62.2,691,5270,2702,118,61,57,51,41,722,241,Matches
James Garner,eng ENG,"MF,DF",Everton,24-028,2001,10.7,555,26,142,262,157,8,555,13,5,38.5,8,61.5,251,1013,342,7,9,1,9,6,278,17,Matches
Tyrique George,eng ENG,FW,Chelsea,19-065,2006,1.0,51,0,9,12,31,8,51,4,3,75.0,1,25.0,36,342,206,9,1,5,1,0,41,16,Matches
Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,25-073,2000,24.4,1313,28,155,650,529,82,1313,69,28,40.6,31,44.9,742,4299,2200,61,45,12,62,36,991,109,Matches
Billy Gilmour,sct SCO,MF,Brighton,23-303,2001,1.1,73,2,14,46,13,0,73,2,1,50.0,1,50.0,44,210,117,2,0,0,0,0,58,2,Matches
Ben Godfrey,eng ENG,DF,Ipswich Town,27-085,1998,1.2,63,3,22,32,9,1,63,0,0,,0,,33,202,79,2,2,0,2,1,40,1,Matches
Martial Godo,eng ENG,FW,Fulham,22-027,2003,0.2,11,0,1,4,6,3,11,2,0,0.0,2,100.0,8,48,18,0,0,0,0,0,6,3,Matches
João Gomes,br BRA,MF,Wolves,24-057,2001,27.0,1617,55,346,887,403,37,1617,49,21,42.9,22,44.9,836,4926,2359,49,45,5,32,43,1073,61,Matches
Rodrigo Gomes,pt POR,"DF,FW",Wolves,21-277,2003,6.6,311,22,73,109,134,23,311,11,3,27.3,6,54.5,155,1056,643,19,13,7,14,6,179,57,Matches
Toti Gomes,pt POR,DF,Wolves,26-084,1999,22.0,1511,185,713,731,85,15,1511,23,16,69.6,5,21.7,871,4326,2369,20,16,0,16,12,1014,12,Matches
Diego Gómez,py PAR,MF,Brighton,22-014,2003,4.4,304,16,72,166,70,5,304,12,6,50.0,6,50.0,142,516,233,5,3,0,6,9,180,11,Matches
Joe Gomez,eng ENG,DF,Liverpool,27-322,1997,5.8,481,54,183,264,37,5,481,0,0,,0,,303,1638,947,5,2,1,1,2,335,2,Matches
Nicolás González,es ESP,MF,Manchester City,23-097,2002,5.3,463,10,66,288,110,6,463,4,1,25.0,2,50.0,288,1193,455,5,7,1,6,5,354,8,Matches
Anthony Gordon,eng ENG,FW,Newcastle Utd,24-045,2001,23.4,1100,16,110,413,595,122,1098,93,35,37.6,42,45.2,710,5230,2813,104,52,54,28,34,787,187,Matches
Ryan Gravenberch,nl NED,MF,Liverpool,22-329,2002,29.5,1997,98,412,1175,436,22,1997,67,31,46.3,25,37.3,1196,6290,3171,59,65,9,43,19,1431,49,Matches
Archie Gray,eng ENG,"DF,MF",Tottenham,19-029,2006,14.0,1046,133,526,472,57,1,1046,8,4,50.0,3,37.5,741,3362,1393,4,5,0,6,8,796,7,Matches
Jack Grealish,eng ENG,"FW,MF",Manchester City,29-212,1995,8.0,509,14,38,155,321,70,509,27,13,48.1,9,33.3,368,2843,1708,69,23,46,10,16,413,118,Matches
Jacob Greaves,eng ENG,DF,Ipswich Town,24-210,2000,18.5,1064,222,582,426,60,15,1064,2,1,50.0,1,50.0,503,2156,909,6,8,0,7,2,673,4,Matches
Brajan Gruda,de GER,"FW,MF",Brighton,20-314,2004,5.4,243,4,30,83,132,29,243,20,8,40.0,8,40.0,141,987,458,15,16,9,7,20,160,45,Matches
Albert Grønbaek,dk DEN,"FW,MF",Southampton,23-322,2001,1.6,38,2,9,14,15,2,38,4,0,0.0,4,100.0,18,79,15,1,0,1,5,4,21,3,Matches
Gonçalo Guedes,pt POR,"MF,FW",Wolves,28-132,1996,8.6,366,4,42,161,176,28,366,20,5,25.0,11,55.0,223,1693,878,31,19,5,33,14,247,58,Matches
Marc Guéhi,eng ENG,DF,Crystal Palace,24-271,2000,29.0,1836,275,934,798,114,24,1836,14,11,78.6,2,14.3,963,4860,2536,17,15,1,14,15,1129,8,Matches
Luis Guilherme,br BRA,"MF,FW",West Ham,19-060,2006,1.2,66,3,14,25,27,3,66,6,2,33.3,2,33.3,31,237,111,3,2,1,1,2,41,11,Matches
Bruno Guimarães,br BRA,MF,Newcastle Utd,27-145,1997,28.6,1737,66,376,910,469,49,1737,63,27,42.9,20,31.7,1141,6274,2748,44,35,7,47,69,1298,69,Matches
Marc Guiu,es ESP,FW,Chelsea,19-096,2006,0.8,22,0,2,8,12,3,22,1,0,0.0,1,100.0,12,30,8,0,0,0,2,0,12,3,Matches
İlkay Gündoğan,de GER,MF,Manchester City,34-168,1990,18.9,1506,35,224,730,571,49,1506,28,13,46.4,10,35.7,893,4957,2380,44,46,7,20,17,1176,70,Matches
Malo Gusto,fr FRA,DF,Chelsea,21-326,2003,19.2,1464,54,364,709,402,39,1464,15,4,26.7,10,66.7,800,4028,2027,44,31,7,15,17,978,79,Matches
Joško Gvardiol,hr CRO,DF,Manchester City,23-077,2002,29.4,2505,119,616,1203,707,82,2505,39,23,59.0,13,33.3,1605,8403,4655,74,88,13,23,15,1821,96,Matches
Erling Haaland,no NOR,FW,Manchester City,24-263,2000,27.6,578,22,39,200,344,170,575,32,11,34.4,19,59.4,272,1310,478,19,14,19,39,25,427,103,Matches
Lewis Hall,eng ENG,DF,Newcastle Utd,20-214,2004,24.3,1820,95,623,804,414,47,1820,21,11,52.4,7,33.3,950,4398,2358,41,22,13,33,20,1094,80,Matches
Ali Al Hamadi,iq IRQ,FW,Ipswich Town,23-040,2002,1.5,53,2,6,20,30,9,53,7,4,57.1,3,42.9,29,187,111,4,3,4,7,4,36,14,Matches
Marcus Harness,eng ENG,MF,Ipswich Town,29-045,1996,0.5,22,4,7,2,13,3,22,1,0,0.0,1,100.0,9,49,14,0,0,0,0,0,9,1,Matches
Jack Harrison,eng ENG,FW,Everton,28-141,1996,18.4,734,29,131,256,354,57,734,64,20,31.3,38,59.4,410,2313,1204,49,25,14,40,35,471,94,Matches
Taylor Harwood-Bellis,eng ENG,DF,Southampton,23-070,2002,25.6,2098,276,969,986,152,34,2098,3,3,100.0,0,0.0,1208,5569,3240,27,27,0,13,5,1525,8,Matches
Kai Havertz,de GER,"FW,MF",Arsenal,25-303,1999,20.4,768,31,88,282,403,103,768,38,9,23.7,24,63.2,411,1957,922,34,23,18,42,22,575,110,Matches
Ayden Heaven,eng ENG,DF,Manchester Utd,18-200,2006,1.1,67,21,42,23,3,1,67,2,2,100.0,0,0.0,42,245,122,1,1,0,2,1,40,1,Matches
Jan Paul van Hecke,nl NED,DF,Brighton,24-306,2000,27.9,2232,237,955,1154,142,28,2232,10,4,40.0,4,40.0,1471,9213,6356,50,39,0,10,7,1563,5,Matches
Hwang Hee-chan,kr KOR,"MF,FW",Wolves,29-074,1996,7.1,254,9,39,97,120,22,254,11,1,9.1,10,90.9,146,913,416,14,5,7,12,10,168,40,Matches
Dean Henderson,eng ENG,GK,Crystal Palace,28-029,1997,30.0,1050,853,1047,2,1,1,1050,0,0,,0,,598,3597,1638,0,0,0,2,0,462,0,Matches
Rico Henry,eng ENG,DF,Brentford,27-276,1997,0.0,6,0,4,1,1,0,6,0,0,,0,,2,5,0,0,0,0,0,0,2,1,Matches
Mads Hermansen,dk DEN,GK,Leicester City,24-273,2000,23.5,998,715,959,41,0,0,998,1,1,100.0,0,0.0,631,3177,1691,0,0,0,1,0,546,0,Matches
Son Heung-min,kr KOR,FW,Tottenham,32-276,1992,22.3,1093,15,110,347,646,117,1091,82,29,35.4,40,48.8,732,4522,2334,87,45,40,25,29,837,259,Matches
James Hill,eng ENG,DF,Bournemouth,23-090,2002,5.0,319,19,99,167,54,8,319,2,1,50.0,1,50.0,146,552,295,3,6,0,2,0,179,8,Matches
Jack Hinshelwood,eng ENG,"DF,MF",Brighton,19-364,2005,15.7,928,44,269,422,242,21,928,9,1,11.1,7,77.8,420,1802,878,15,15,1,16,2,562,38,Matches
George Hirst,sct SCO,FW,Ipswich Town,26-054,1999,3.3,113,6,17,36,61,17,113,3,2,66.7,1,33.3,62,310,111,6,1,5,14,8,93,21,Matches
Mason Holgate,eng ENG,"FW,DF",Everton,28-170,1996,0.1,3,0,0,2,1,0,3,0,0,,0,,1,0,0,0,0,0,1,0,1,0,Matches
Callum Hudson-Odoi,eng ENG,FW,Nott'ham Forest,24-154,2000,22.0,938,14,101,293,566,69,938,57,32,56.1,17,29.8,586,4832,3072,116,55,43,43,22,717,180,Matches
Will Hughes,eng ENG,MF,Crystal Palace,29-358,1995,18.3,972,35,215,509,260,14,972,11,3,27.3,5,45.5,432,2295,1070,18,22,1,16,22,547,24,Matches
Dean Huijsen,es ESP,DF,Bournemouth,19-361,2005,20.8,1506,199,709,707,98,28,1506,5,2,40.0,3,60.0,815,4913,3022,31,14,0,14,1,916,9,Matches
Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-162,2003,24.7,1061,12,168,450,463,74,1061,114,45,39.5,54,47.4,645,4832,2288,71,35,30,68,55,748,131,Matches
Rasmus Højlund,dk DEN,FW,Manchester Utd,22-065,2003,17.2,396,5,23,201,178,50,396,25,7,28.0,16,64.0,247,1198,513,23,11,14,56,26,311,79,Matches
Igor,br BRA,DF,Brighton,27-062,1998,10.0,764,109,377,353,38,1,764,4,3,75.0,1,25.0,497,2837,1782,9,14,0,1,0,568,0,Matches
Danny Ings,eng ENG,"FW,MF",West Ham,32-261,1992,3.2,139,2,15,51,73,27,139,7,4,57.1,2,28.6,63,324,118,6,0,2,6,6,96,29,Matches
Tim Iroegbunam,eng ENG,MF,Everton,21-284,2003,6.2,248,20,79,117,58,12,248,19,8,42.1,7,36.8,119,708,360,8,10,2,10,18,108,9,Matches
Andy Irving,sct SCO,MF,West Ham,24-332,2000,1.8,150,7,37,89,24,0,150,1,1,100.0,0,0.0,73,305,137,0,1,0,1,3,104,4,Matches
Alexander Isak,se SWE,FW,Newcastle Utd,25-201,1999,24.3,838,19,52,310,489,150,836,80,39,48.8,40,50.0,510,3167,1623,72,38,40,54,48,592,174,Matches
Alex Iwobi,ng NGA,"FW,MF",Fulham,28-342,1996,27.4,1533,31,211,615,731,98,1533,80,40,50.0,36,45.0,1088,6599,3621,119,90,34,52,37,1192,202,Matches
Nicolas Jackson,sn SEN,FW,Chelsea,23-294,2001,20.7,583,19,43,241,307,124,583,55,17,30.9,28,50.9,349,2217,1188,43,22,28,56,34,425,101,Matches
Reece James,eng ENG,"DF,MF",Chelsea,25-123,1999,8.5,703,31,203,386,118,4,703,15,6,40.0,5,33.3,358,1413,655,5,4,0,6,4,442,8,Matches
Vitaly Janelt,de GER,MF,Brentford,26-335,1998,24.2,1259,117,405,565,297,30,1259,11,3,27.3,6,54.5,640,2983,1272,17,17,3,16,10,800,36,Matches
Vitezslav Jaros,cz CZE,GK,Liverpool,23-261,2001,0.1,8,5,8,0,0,0,8,0,0,,0,,7,29,8,0,0,0,0,0,5,0,Matches
Daniel Jebbison,eng ENG,FW,Bournemouth,21-240,2003,0.8,52,2,4,21,27,9,52,5,4,80.0,1,20.0,33,212,81,2,1,3,11,4,37,11,Matches
Mathias Jensen,dk DEN,MF,Brentford,29-099,1996,8.3,487,20,109,204,176,9,487,14,8,57.1,4,28.6,264,1145,527,6,8,0,7,6,303,25,Matches
Gabriel Jesus,br BRA,FW,Arsenal,28-007,1997,6.8,299,9,28,108,165,48,299,22,9,40.9,10,45.5,179,953,432,15,6,11,13,13,217,57,Matches
Raúl Jiménez,mx MEX,FW,Fulham,33-340,1991,21.4,799,27,93,347,370,137,796,44,18,40.9,23,52.3,445,1999,879,30,16,16,53,38,582,107,Matches
Kim Jisoo,kr KOR,DF,Brentford,20-107,2004,0.3,30,1,15,12,3,0,30,0,0,,0,,15,57,22,0,0,0,0,1,22,0,Matches
João Pedro,br BRA,"FW,MF",Brighton,23-196,2001,20.0,854,10,51,351,463,112,851,72,25,34.7,39,54.2,552,3383,1596,61,33,29,68,36,673,118,Matches
Joelinton,br BRA,"MF,FW",Newcastle Utd,28-239,1996,24.0,1242,65,248,600,407,76,1242,44,14,31.8,27,61.4,674,3369,1661,37,23,8,35,51,845,100,Matches
Ben Johnson,eng ENG,"DF,FW",Ipswich Town,25-076,2000,12.6,554,52,218,197,142,10,554,21,7,33.3,12,57.1,227,1328,528,15,10,3,20,15,257,27,Matches
Brennan Johnson,wls WAL,FW,Tottenham,23-322,2001,20.9,758,16,85,256,429,117,758,39,18,46.2,18,46.2,476,2567,1305,54,18,32,23,15,550,179,Matches
Sam Johnstone,eng ENG,GK,Wolves,32-016,1993,7.0,306,229,304,2,0,0,306,0,0,,0,,196,1221,756,0,0,0,0,0,179,0,Matches
Curtis Jones,eng ENG,"MF,DF",Liverpool,24-070,2001,15.0,957,26,147,511,305,50,957,15,10,66.7,4,26.7,581,2820,1265,20,13,5,21,29,717,65,Matches
Jorginho,it ITA,MF,Arsenal,33-111,1991,6.8,443,9,81,262,105,3,443,4,1,25.0,2,50.0,258,1320,754,10,9,0,9,9,330,4,Matches
Diogo Jota,pt POR,FW,Liverpool,28-127,1996,10.9,407,5,27,162,225,83,407,29,11,37.9,17,58.6,228,1357,711,34,21,20,35,21,283,81,Matches
James Justin,eng ENG,DF,Leicester City,27-046,1998,27.1,1606,126,560,714,342,36,1606,28,9,32.1,12,42.9,708,2955,1454,35,24,4,30,11,881,90,Matches
Filip Jørgensen,dk DEN,GK,Chelsea,22-359,2002,6.0,202,174,201,1,0,0,202,0,0,,0,,145,676,423,0,0,0,0,0,139,0,Matches
Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,25-185,1999,4.3,231,13,71,91,72,9,231,7,3,42.9,3,42.9,124,479,183,1,0,0,6,2,144,27,Matches
Daichi Kamada,jp JPN,MF,Crystal Palace,28-248,1996,12.3,682,17,142,361,183,20,682,11,4,36.4,6,54.5,331,1589,734,18,12,4,12,17,436,43,Matches
Boubacar Kamara,fr FRA,MF,Aston Villa,25-138,1999,13.3,827,82,257,477,98,8,827,22,8,36.4,7,31.8,428,2126,1019,16,10,1,7,9,551,5,Matches
Michael Kayode,it ITA,DF,Brentford,20-274,2004,0.5,33,1,11,9,13,3,33,0,0,,0,,12,69,38,2,1,1,0,0,14,6,Matches
Michael Keane,eng ENG,DF,Everton,32-089,1993,9.0,409,78,226,167,18,14,409,1,0,0.0,1,100.0,187,736,234,1,1,0,0,2,236,3,Matches
Caoimhín Kelleher,ie IRL,GK,Liverpool,26-138,1998,10.0,398,286,396,2,0,0,398,1,1,100.0,0,0.0,290,1131,616,0,0,0,1,0,275,0,Matches
Lloyd Kelly,eng ENG,DF,Newcastle Utd,26-186,1998,3.4,215,26,105,94,19,4,215,3,2,66.7,1,33.3,120,474,202,0,2,0,3,2,129,5,Matches
Milos Kerkez,hu HUN,DF,Bournemouth,21-154,2003,30.2,1727,93,443,734,571,55,1727,41,17,41.5,14,34.1,869,5038,2962,85,56,14,41,15,930,151,Matches
Bilal El Khannouss,ma MAR,MF,Leicester City,20-335,2004,18.4,997,11,134,519,353,26,997,41,24,58.5,16,39.0,569,3409,1549,54,35,8,32,28,673,70,Matches
Abdukodir Khusanov,uz UZB,DF,Manchester City,21-040,2004,5.6,445,45,205,211,31,1,445,2,0,0.0,2,100.0,274,1155,435,1,1,0,2,1,332,2,Matches
Max Kilman,eng ENG,DF,West Ham,27-322,1997,30.2,1897,368,1046,774,92,28,1897,18,13,72.2,1,5.6,1010,4559,2627,26,10,2,13,2,1257,5,Matches
Joshua King,eng ENG,"MF,FW",Fulham,18-097,2007,0.9,54,2,8,19,28,7,54,7,4,57.1,3,42.9,22,176,70,1,3,0,1,3,36,9,Matches
Antonín Kinský,cz CZE,GK,Tottenham,22-028,2003,4.0,156,134,154,2,0,0,156,0,0,,0,,97,444,267,1,0,0,0,0,98,0,Matches
Jakub Kiwior,pl POL,DF,Arsenal,25-054,2000,5.5,326,41,129,182,15,2,326,3,2,66.7,1,33.3,168,737,414,4,0,1,1,1,233,0,Matches
Justin Kluivert,nl NED,"MF,FW",Bournemouth,25-340,1999,21.5,879,21,87,295,517,111,873,76,31,40.8,36,47.4,511,3273,1885,64,44,33,44,24,562,132,Matches
Ibrahima Konaté,fr FRA,DF,Liverpool,25-320,1999,22.8,1762,194,756,913,98,18,1762,4,2,50.0,1,25.0,1043,4835,2812,21,12,0,8,2,1271,2,Matches
Ezri Konsa,eng ENG,DF,Aston Villa,27-169,1997,25.6,1546,188,733,728,92,17,1546,17,7,41.2,7,41.2,905,4582,2273,16,8,2,15,8,1082,11,Matches
Mateo Kovačić,hr CRO,MF,Manchester City,30-339,1994,19.7,1686,40,247,953,505,15,1686,36,19,52.8,11,30.6,1128,6704,3147,48,62,3,15,28,1360,14,Matches
Caleb Kporha,eng ENG,DF,Crystal Palace,18-269,2006,0.1,11,1,4,2,5,0,11,0,0,,0,,4,46,36,1,1,0,0,2,3,0,Matches
Emil Krafth,se SWE,DF,Newcastle Utd,30-251,1994,2.8,118,24,67,36,15,4,118,1,0,0.0,1,100.0,54,206,64,1,2,0,2,1,58,1,Matches
Mohammed Kudus,gh GHA,"FW,MF",West Ham,24-251,2000,23.1,1018,10,136,421,495,101,1018,169,73,43.2,79,46.7,673,4392,2055,81,52,35,60,79,791,175,Matches
Dejan Kulusevski,se SWE,"MF,FW",Tottenham,24-350,2000,23.9,1172,20,133,390,673,145,1172,107,35,32.7,64,59.8,766,5793,3065,115,66,37,71,69,834,199,Matches
Maxence Lacroix,fr FRA,DF,Crystal Palace,25-004,2000,26.9,1571,277,951,560,67,32,1571,13,8,61.5,3,23.1,843,4000,1842,8,4,0,18,3,931,6,Matches
Adam Lallana,eng ENG,MF,Southampton,36-335,1988,4.0,318,19,91,155,73,6,318,12,5,41.7,5,41.7,178,831,366,6,8,0,10,6,245,10,Matches
Tariq Lamptey,gh GHA,DF,Brighton,24-192,2000,8.5,489,25,147,208,137,9,489,27,9,33.3,15,55.6,267,1867,893,25,13,2,9,4,276,40,Matches
Will Lankshear,eng ENG,"FW,MF",Tottenham,19-355,2005,0.1,3,0,0,2,1,0,3,0,0,,0,,3,3,0,0,0,0,2,0,3,1,Matches
Roméo Lavia,be BEL,MF,Chelsea,21-094,2004,6.0,344,12,86,209,53,1,344,12,7,58.3,5,41.7,204,935,407,3,8,0,1,6,249,6,Matches
