Player,Nation,Pos,Squad,stats_Age,stats_Born,stats_Playing Time_MP,stats_Playing Time_Starts,stats_Playing Time_Min,stats_Playing Time_90s,stats_Performance_Gls,stats_Performance_Ast,stats_Performance_G+A,stats_Performance_G-PK,stats_Performance_PK,stats_Performance_PKatt,stats_Performance_CrdY,stats_Performance_CrdR,stats_Expected_xG,stats_Expected_npxG,stats_Expected_xAG,stats_Expected_npxG+xAG,stats_Progression_PrgC,stats_Progression_PrgP,stats_Progression_PrgR,stats_Per 90 Minutes_Gls,stats_Per 90 Minutes_Ast,stats_Per 90 Minutes_G+A,stats_Per 90 Minutes_G-PK,stats_Per 90 Minutes_G+A-PK,stats_Per 90 Minutes_xG,stats_Per 90 Minutes_xAG,stats_Per 90 Minutes_xG+xAG,stats_Per 90 Minutes_npxG,stats_Per 90 Minutes_npxG+xAG,stats_Matches,keepers_Age,keepers_Born,keepers_Playing Time_MP,keepers_Playing Time_Starts,keepers_Playing Time_Min,keepers_Playing Time_90s,keepers_Performance_GA,keepers_Performance_GA90,keepers_Performance_SoTA,keepers_Performance_Saves,keepers_Performance_Save%,keepers_Performance_W,keepers_Performance_D,keepers_Performance_L,keepers_Performance_CS,keepers_Performance_CS%,keepers_Penalty Kicks_PKatt,keepers_Penalty Kicks_PKA,keepers_Penalty Kicks_PKsv,keepers_Penalty Kicks_PKm,keepers_Penalty Kicks_Save%,keepers_Matches,shooting_Age,shooting_Born,shooting_90s,shooting_Standard_Gls,shooting_Standard_Sh,shooting_Standard_SoT,shooting_Standard_SoT%,shooting_Standard_Sh/90,shooting_Standard_SoT/90,shooting_Standard_G/Sh,shooting_Standard_G/SoT,shooting_Standard_Dist,shooting_Standard_FK,shooting_Standard_PK,shooting_Standard_PKatt,shooting_Expected_xG,shooting_Expected_npxG,shooting_Expected_npxG/Sh,shooting_Expected_G-xG,shooting_Expected_np:G-xG,shooting_Matches,passing_Age,passing_Born,passing_90s,passing_Total_Cmp,passing_Total_Att,passing_Total_Cmp%,passing_Total_TotDist,passing_Total_PrgDist,passing_Short_Cmp,passing_Short_Att,passing_Short_Cmp%,passing_Medium_Cmp,passing_Medium_Att,passing_Medium_Cmp%,passing_Long_Cmp,passing_Long_Att,passing_Long_Cmp%,passing_Ast,passing_xAG,passing_Expected_xA,passing_Expected_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_PrgP,passing_Matches,gca_Age,gca_Born,gca_90s,gca_SCA_SCA,gca_SCA_SCA90,gca_SCA Types_PassLive,gca_SCA Types_PassDead,gca_SCA Types_TO,gca_SCA Types_Sh,gca_SCA Types_Fld,gca_SCA Types_Def,gca_GCA_GCA,gca_GCA_GCA90,gca_GCA Types_PassLive,gca_GCA Types_PassDead,gca_GCA Types_TO,gca_GCA Types_Sh,gca_GCA Types_Fld,gca_GCA Types_Def,gca_Matches,defense_Age,defense_Born,defense_90s,defense_Tackles_Tkl,defense_Tackles_TklW,defense_Tackles_Def 3rd,defense_Tackles_Mid 3rd,defense_Tackles_Att 3rd,defense_Challenges_Tkl,defense_Challenges_Att,defense_Challenges_Tkl%,defense_Challenges_Lost,defense_Blocks_Blocks,defense_Blocks_Sh,defense_Blocks_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,defense_Matches,possession_Age,possession_Born,possession_90s,possession_Touches_Touches,possession_Touches_Def Pen,possession_Touches_Def 3rd,possession_Touches_Mid 3rd,possession_Touches_Att 3rd,possession_Touches_Att Pen,possession_Touches_Live,possession_Take-Ons_Att,possession_Take-Ons_Succ,possession_Take-Ons_Succ%,possession_Take-Ons_Tkld,possession_Take-Ons_Tkld%,possession_Carries_Carries,possession_Carries_TotDist,possession_Carries_PrgDist,possession_Carries_PrgC,possession_Carries_1/3,possession_Carries_CPA,possession_Carries_Mis,possession_Carries_Dis,possession_Receiving_Rec,possession_Receiving_PrgR,possession_Matches,misc_Age,misc_Born,misc_90s,misc_Performance_CrdY,misc_Performance_CrdR,misc_Performance_2CrdY,misc_Performance_Fls,misc_Performance_Fld,misc_Performance_Off,misc_Performance_Crs,misc_Performance_Int,misc_Performance_TklW,misc_Performance_PKwon,misc_Performance_PKcon,misc_Performance_OG,misc_Performance_Recov,misc_Aerial Duels_Won,misc_Aerial Duels_Lost,misc_Aerial Duels_Won%,misc_Matches
Jason Steele,ENG,GK,Brighton,34-236,1990,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,34-236,1990,2,2,180,2.0,1,0.50,4,3,75.0,2,0,0,1,50.0,0,0,0,0,,Matches,34-236,1990,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,34-236,1990,2.0,101,112,90.2,2321,1556,21,21,100.0,63,65,96.9,17,26,65.4,0,0.0,0.0,0.0,0,0,0,0,0,Matches,34-236,1990,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,34-236,1990,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,34-236,1990,2.0,114,107,114,0,0,0,114,0,0,,0,,91,361,151,0,0,0,0,0,83,0,Matches,34-236,1990,2.0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,50.0,Matches
Jean-Clair Todibo,FRA,DF,West Ham,25-102,1999,20,13,1228,13.6,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,7,26,4,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,,,,,,,,,,,,,,,,,,,,,,,25-102,1999,13.6,0,4,0,0.0,0.29,0.00,0.00,,14.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,25-102,1999,13.6,617,712,86.7,11036,3802,222,242,91.7,358,380,94.2,34,74,45.9,0,0.0,0.1,0.0,2,33,1,0,26,Matches,25-102,1999,13.6,5,0.37,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,25-102,1999,13.6,31,19,21,10,0,19,22,86.4,3,19,10,9,19,50,61,3,Matches,25-102,1999,13.6,865,123,485,354,33,9,865,13,7,53.8,6,46.2,511,2287,1154,7,5,0,6,7,585,4,Matches,25-102,1999,13.6,2,0,0,8,4,0,2,19,19,0,0,0,51,22,20,52.4,Matches
Jean-Philippe Mateta,FRA,FW,Crystal Palace,27-287,1997,29,27,2257,25.1,13,2,15,11,2,2,2,0,11.6,10.0,3.0,13.0,34,44,111,0.52,0.08,0.60,0.44,0.52,0.46,0.12,0.58,0.40,0.52,Matches,,,,,,,,,,,,,,,,,,,,,,,27-287,1997,25.1,13,55,23,41.8,2.19,0.92,0.20,0.48,15.4,0,2,2,11.6,10.0,0.18,+1.4,+1.0,Matches,27-287,1997,25.1,257,395,65.1,3416,880,156,202,77.2,72,116,62.1,7,21,33.3,2,3.0,2.1,-1.0,26,30,14,1,44,Matches,27-287,1997,25.1,51,2.03,36,0,3,9,3,0,7,0.28,3,0,2,2,0,0,Matches,27-287,1997,25.1,17,12,4,11,2,3,15,20.0,12,14,3,11,2,19,20,0,Matches,27-287,1997,25.1,643,24,53,310,294,82,641,40,17,42.5,19,47.5,340,1746,823,34,19,8,62,38,469,111,Matches,27-287,1997,25.1,2,0,0,24,22,17,23,2,12,0,0,0,59,53,92,36.6,Matches
Jean-Ricner Bellegarde,FRA,"MF,FW",Wolves,26-288,1998,29,17,1438,16.0,2,6,8,2,0,0,3,0,1.3,1.3,3.6,4.9,45,35,79,0.13,0.38,0.50,0.13,0.50,0.08,0.22,0.31,0.08,0.31,Matches,,,,,,,,,,,,,,,,,,,,,,,26-288,1998,16.0,2,20,5,25.0,1.25,0.31,0.10,0.40,21.7,2,0,0,1.3,1.3,0.07,+0.7,+0.7,Matches,26-288,1998,16.0,395,496,79.6,6117,1202,230,257,89.5,125,154,81.2,30,50,60.0,6,3.6,2.5,+2.4,26,27,15,7,35,Matches,26-288,1998,16.0,51,3.19,32,3,4,4,6,2,9,0.56,8,0,0,0,0,1,Matches,26-288,1998,16.0,30,16,13,14,3,10,15,66.7,5,17,3,14,10,40,13,1,Matches,26-288,1998,16.0,703,21,119,322,278,41,703,57,13,22.8,30,52.6,435,2719,1329,45,33,10,34,23,490,79,Matches,26-288,1998,16.0,3,0,0,29,37,1,36,10,16,0,0,0,53,8,18,30.8,Matches
Jefferson Lerma,COL,"MF,DF",Crystal Palace,30-168,1994,25,20,1721,19.1,0,1,1,0,0,0,5,0,0.9,0.9,1.5,2.4,10,80,24,0.00,0.05,0.05,0.00,0.05,0.05,0.08,0.13,0.05,0.13,Matches,,,,,,,,,,,,,,,,,,,,,,,30-168,1994,19.1,0,23,7,30.4,1.20,0.37,0.00,0.00,19.8,0,0,0,0.9,0.9,0.04,-0.9,-0.9,Matches,30-168,1994,19.1,661,881,75.0,11505,3981,317,366,86.6,269,338,79.6,61,131,46.6,1,1.5,1.5,-0.5,9,76,15,2,80,Matches,30-168,1994,19.1,39,2.04,32,4,0,2,0,1,3,0.16,3,0,0,0,0,0,Matches,30-168,1994,19.1,25,11,9,12,4,13,28,46.4,15,28,15,13,31,56,49,1,Matches,30-168,1994,19.1,1086,72,312,589,195,23,1086,10,5,50.0,3,30.0,489,1901,848,10,9,0,10,15,629,24,Matches,30-168,1994,19.1,5,0,0,26,32,0,7,31,11,0,0,0,126,38,36,51.4,Matches
Jeffrey Schlupp,GHA,"MF,DF",Crystal Palace,32-109,1992,12,0,103,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,4,5,9,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.28,0.14,0.28,Matches,,,,,,,,,,,,,,,,,,,,,,,32-109,1992,1.1,0,4,2,50.0,3.50,1.75,0.00,0.00,17.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,32-109,1992,1.1,39,50,78.0,591,144,16,19,84.2,18,23,78.3,2,4,50.0,0,0.2,0.1,-0.2,3,4,2,0,5,Matches,32-109,1992,1.1,7,6.06,5,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches,32-109,1992,1.1,2,0,1,0,1,0,3,0.0,3,6,0,6,0,2,2,0,Matches,32-109,1992,1.1,79,2,9,31,41,6,79,1,1,100.0,0,0.0,30,150,67,4,1,1,7,0,41,9,Matches,32-109,1992,1.1,0,0,0,1,0,0,4,0,0,0,0,0,6,3,4,42.9,Matches
Jens Cajuste,SWE,MF,Ipswich Town,25-244,1999,24,21,1604,17.8,1,0,1,1,0,0,2,0,0.4,0.4,0.6,1.0,23,44,14,0.06,0.00,0.06,0.06,0.06,0.02,0.03,0.05,0.02,0.05,Matches,,,,,,,,,,,,,,,,,,,,,,,25-244,1999,17.8,1,8,1,12.5,0.45,0.06,0.13,1.00,20.9,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches,25-244,1999,17.8,534,646,82.7,8899,1793,242,271,89.3,253,296,85.5,27,53,50.9,0,0.6,0.6,-0.6,10,42,5,1,44,Matches,25-244,1999,17.8,27,1.51,22,2,3,0,0,0,1,0.06,0,0,1,0,0,0,Matches,25-244,1999,17.8,37,18,16,20,1,18,44,40.9,26,19,5,14,21,58,27,2,Matches,25-244,1999,17.8,831,49,230,438,175,11,831,41,23,56.1,12,29.3,379,2098,1110,23,20,3,19,11,479,14,Matches,25-244,1999,17.8,2,0,0,21,20,0,9,21,18,0,0,0,91,10,20,33.3,Matches
Jeremy Doku,BEL,"FW,MF",Manchester City,22-319,2002,22,14,1273,14.1,3,4,7,3,0,0,1,0,1.0,1.0,3.5,4.5,166,59,223,0.21,0.28,0.49,0.21,0.49,0.07,0.25,0.32,0.07,0.32,Matches,,,,,,,,,,,,,,,,,,,,,,,22-319,2002,14.1,3,23,9,39.1,1.63,0.64,0.13,0.33,18.3,0,0,0,1.0,1.0,0.04,+2.0,+2.0,Matches,22-319,2002,14.1,497,625,79.5,6986,1268,327,378,86.5,152,185,82.2,12,18,66.7,4,3.5,3.1,+0.5,24,10,40,5,59,Matches,22-319,2002,14.1,60,4.25,46,1,10,1,2,0,9,0.64,8,0,1,0,0,0,Matches,22-319,2002,14.1,27,19,9,12,6,7,13,53.8,6,10,1,9,4,31,2,0,Matches,22-319,2002,14.1,844,4,40,198,628,116,844,166,92,55.4,48,28.9,650,6097,3833,166,77,77,48,50,700,223,Matches,22-319,2002,14.1,1,0,0,6,27,5,47,4,19,0,0,0,49,0,10,0.0,Matches
Jesper Lindstrøm,DEN,FW,Everton,25-041,2000,25,15,1239,13.8,0,1,1,0,0,0,2,0,2.1,2.1,2.0,4.1,30,25,81,0.00,0.07,0.07,0.00,0.07,0.15,0.15,0.30,0.15,0.30,Matches,,,,,,,,,,,,,,,,,,,,,,,25-041,2000,13.8,0,28,10,35.7,2.03,0.73,0.00,0.00,21.0,6,0,0,2.1,2.1,0.08,-2.1,-2.1,Matches,25-041,2000,13.8,297,428,69.4,4593,1335,194,225,86.2,65,99,65.7,29,65,44.6,1,2.0,2.0,-1.0,19,18,12,7,25,Matches,25-041,2000,13.8,46,3.35,30,7,2,3,3,1,1,0.07,1,0,0,0,0,0,Matches,25-041,2000,13.8,45,25,24,19,2,19,55,34.5,36,15,3,12,12,57,17,0,Matches,25-041,2000,13.8,625,22,127,206,303,40,625,43,8,18.6,31,72.1,302,1627,780,30,19,7,31,24,347,81,Matches,25-041,2000,13.8,2,0,0,15,10,1,71,12,25,0,0,0,70,6,12,33.3,Matches
Joachim Andersen,DEN,DF,Fulham,28-315,1996,22,22,1953,21.7,0,0,0,0,0,0,5,1,0.4,0.4,0.3,0.8,11,95,1,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches,,,,,,,,,,,,,,,,,,,,,,,28-315,1996,21.7,0,12,2,16.7,0.55,0.09,0.00,0.00,18.2,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,28-315,1996,21.7,1291,1553,83.1,28499,11522,352,383,91.9,715,763,93.7,215,382,56.3,0,0.3,0.4,-0.3,3,151,4,1,95,Matches,28-315,1996,21.7,23,1.07,18,1,0,4,0,0,2,0.09,1,1,0,0,0,0,Matches,28-315,1996,21.7,24,17,18,5,1,13,19,68.4,6,23,18,5,28,52,132,1,Matches,28-315,1996,21.7,1794,267,936,801,67,13,1794,4,4,100.0,0,0.0,1056,4845,2379,11,8,1,4,3,1256,1,Matches,28-315,1996,21.7,5,1,0,15,11,0,6,28,17,0,0,1,88,52,29,64.2,Matches
Joe Aribo,NGA,"MF,DF",Southampton,28-264,1996,30,20,1909,21.2,3,0,3,3,0,0,1,0,2.7,2.7,1.6,4.3,35,71,64,0.14,0.00,0.14,0.14,0.14,0.13,0.07,0.20,0.13,0.20,Matches,,,,,,,,,,,,,,,,,,,,,,,28-264,1996,21.2,3,17,7,41.2,0.80,0.33,0.18,0.43,14.0,0,0,0,2.7,2.7,0.16,+0.3,+0.3,Matches,28-264,1996,21.2,878,992,88.5,13041,2506,480,526,91.3,341,375,90.9,31,45,68.9,0,1.6,1.2,-1.6,16,50,4,1,71,Matches,28-264,1996,21.2,37,1.75,32,0,2,1,2,0,1,0.05,1,0,0,0,0,0,Matches,28-264,1996,21.2,44,30,15,23,6,17,34,50.0,17,24,9,15,20,64,29,3,Matches,28-264,1996,21.2,1203,46,288,632,294,44,1203,46,18,39.1,22,47.8,708,3880,1923,35,28,12,25,16,879,64,Matches,28-264,1996,21.2,1,0,0,20,28,1,10,20,30,0,1,0,110,25,21,54.3,Matches
Joe Gomez,ENG,DF,Liverpool,27-323,1997,9,6,519,5.8,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,5,35,2,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches,,,,,,,,,,,,,,,,,,,,,,,27-323,1997,5.8,0,3,2,66.7,0.52,0.35,0.00,0.00,11.9,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches,27-323,1997,5.8,377,425,88.7,6689,2299,155,170,91.2,191,204,93.6,26,42,61.9,0,0.1,0.1,-0.1,2,29,0,0,35,Matches,27-323,1997,5.8,5,0.87,5,0,0,0,0,0,1,0.17,1,0,0,0,0,0,Matches,27-323,1997,5.8,13,10,5,7,1,11,16,68.8,5,9,6,3,7,20,20,2,Matches,27-323,1997,5.8,481,54,183,264,37,5,481,0,0,,0,,303,1638,947,5,2,1,1,2,335,2,Matches,27-323,1997,5.8,1,0,0,2,3,0,2,7,10,0,0,0,34,9,4,69.2,Matches
Joe Lumley,ENG,GK,Southampton,30-055,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,30-055,1995,3,3,270,3.0,7,2.33,20,13,65.0,0,1,2,0,0.0,0,0,0,0,,Matches,30-055,1995,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,30-055,1995,3.0,106,151,70.2,2342,1476,42,44,95.5,42,46,91.3,21,59,35.6,0,0.0,0.0,0.0,0,2,0,0,0,Matches,30-055,1995,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,30-055,1995,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,3,Matches,30-055,1995,3.0,164,116,161,3,0,0,164,0,0,,0,,103,476,296,0,0,0,0,0,108,0,Matches,30-055,1995,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,66.7,Matches
Joe Willock,ENG,"MF,FW",Newcastle Utd,25-234,1999,26,9,843,9.4,0,2,2,0,0,0,2,0,0.9,0.9,1.6,2.5,30,34,68,0.00,0.21,0.21,0.00,0.21,0.10,0.17,0.27,0.10,0.27,Matches,,,,,,,,,,,,,,,,,,,,,,,25-234,1999,9.4,0,13,3,23.1,1.39,0.32,0.00,0.00,17.1,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches,25-234,1999,9.4,225,273,82.4,3203,714,137,154,89.0,78,91,85.7,7,16,43.8,2,1.6,0.8,+0.4,18,20,8,0,34,Matches,25-234,1999,9.4,37,3.95,31,0,3,2,1,0,4,0.43,4,0,0,0,0,0,Matches,25-234,1999,9.4,21,12,12,6,3,17,26,65.4,9,19,3,16,5,26,7,0,Matches,25-234,1999,9.4,408,10,61,169,185,36,408,31,11,35.5,14,45.2,255,1730,801,30,22,11,31,22,286,68,Matches,25-234,1999,9.4,2,0,0,17,11,2,12,5,12,0,0,0,32,2,10,16.7,Matches
Joelinton,BRA,"MF,FW",Newcastle Utd,28-240,1996,26,26,2158,24.0,4,1,5,4,0,0,9,0,3.9,3.9,1.6,5.5,37,109,100,0.17,0.04,0.21,0.17,0.21,0.16,0.07,0.23,0.16,0.23,Matches,,,,,,,,,,,,,,,,,,,,,,,28-240,1996,24.0,4,43,13,30.2,1.79,0.54,0.09,0.31,14.0,0,0,0,3.9,3.9,0.09,+0.1,+0.1,Matches,28-240,1996,24.0,787,945,83.3,11106,3182,486,552,88.0,254,291,87.3,27,48,56.3,1,1.6,1.9,-0.6,20,76,14,1,109,Matches,28-240,1996,24.0,56,2.33,42,2,1,5,1,5,7,0.29,6,0,0,1,0,0,Matches,28-240,1996,24.0,55,34,23,22,10,24,42,57.1,18,33,6,27,22,77,46,1,Matches,28-240,1996,24.0,1242,65,248,600,407,76,1242,44,14,31.8,27,61.4,674,3369,1661,37,23,8,35,51,845,100,Matches,28-240,1996,24.0,9,0,0,53,32,7,15,22,34,0,0,0,138,51,42,54.8,Matches
John McGinn,SCO,"MF,FW",Aston Villa,30-175,1994,27,23,1885,20.9,0,3,3,0,0,0,6,0,2.2,2.2,3.3,5.5,27,87,66,0.00,0.14,0.14,0.00,0.14,0.10,0.16,0.26,0.10,0.26,Matches,,,,,,,,,,,,,,,,,,,,,,,30-175,1994,20.9,0,23,2,8.7,1.10,0.10,0.00,0.00,16.9,1,0,0,2.2,2.2,0.10,-2.2,-2.2,Matches,30-175,1994,20.9,613,737,83.2,10356,2718,292,320,91.3,254,293,86.7,55,90,61.1,3,3.3,2.4,-0.3,26,60,26,7,87,Matches,30-175,1994,20.9,62,2.96,49,5,0,3,4,1,6,0.29,6,0,0,0,0,0,Matches,30-175,1994,20.9,27,18,8,13,6,10,21,47.6,11,16,1,15,11,38,12,3,Matches,30-175,1994,20.9,916,22,143,496,287,46,916,43,17,39.5,12,27.9,509,2522,1077,27,16,5,32,24,649,66,Matches,30-175,1994,20.9,6,0,0,42,59,3,48,11,18,0,0,0,87,15,7,68.2,Matches
John Stones,ENG,"DF,MF",Manchester City,30-318,1994,11,6,548,6.1,2,0,2,2,0,0,1,0,0.4,0.4,0.1,0.5,10,21,2,0.33,0.00,0.33,0.33,0.33,0.07,0.01,0.08,0.07,0.08,Matches,,,,,,,,,,,,,,,,,,,,,,,30-318,1994,6.1,2,2,2,100.0,0.33,0.33,1.00,1.00,5.1,0,0,0,0.4,0.4,0.22,+1.6,+1.6,Matches,30-318,1994,6.1,367,403,91.1,6382,1601,169,179,94.4,161,174,92.5,31,40,77.5,0,0.1,0.2,-0.1,2,42,0,0,21,Matches,30-318,1994,6.1,8,1.31,8,0,0,0,0,0,2,0.33,2,0,0,0,0,0,Matches,30-318,1994,6.1,6,2,3,2,1,5,5,100.0,0,5,3,2,4,10,19,1,Matches,30-318,1994,6.1,442,40,142,234,68,4,442,2,2,100.0,0,0.0,292,2146,1183,10,14,0,2,0,333,2,Matches,30-318,1994,6.1,1,0,0,2,2,0,0,4,2,0,0,0,22,8,6,57.1,Matches
Jonny Evans,NIR,DF,Manchester Utd,37-098,1988,6,3,290,3.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,8,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,,,,,,,,,,,,,,,,,,,,,,,37-098,1988,3.2,0,1,0,0.0,0.31,0.00,0.00,,8.4,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches,37-098,1988,3.2,174,196,88.8,2809,784,82,87,94.3,81,90,90.0,6,12,50.0,0,0.0,0.0,0.0,0,9,1,0,8,Matches,37-098,1988,3.2,2,0.62,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,37-098,1988,3.2,7,5,4,3,0,2,4,50.0,2,2,1,1,4,11,13,0,Matches,37-098,1988,3.2,223,30,125,91,11,2,223,1,1,100.0,0,0.0,128,498,183,1,0,0,1,0,137,2,Matches,37-098,1988,3.2,1,0,0,5,6,0,0,4,5,0,0,0,15,8,3,72.7,Matches
Jordan Ayew,GHA,"FW,MF",Leicester City,33-212,1991,25,15,1310,14.6,4,0,4,3,1,1,5,0,2.8,2.0,0.8,2.8,38,31,68,0.27,0.00,0.27,0.21,0.21,0.19,0.05,0.25,0.14,0.19,Matches,,,,,,,,,,,,,,,,,,,,,,,33-212,1991,14.6,4,25,7,28.0,1.72,0.48,0.12,0.43,18.4,3,1,1,2.8,2.0,0.08,+1.2,+1.0,Matches,33-212,1991,14.6,316,437,72.3,4618,894,174,203,85.7,111,151,73.5,16,45,35.6,0,0.8,1.2,-0.8,12,20,11,6,31,Matches,33-212,1991,14.6,30,2.06,20,6,1,2,0,1,1,0.07,1,0,0,0,0,0,Matches,33-212,1991,14.6,24,13,7,12,5,6,19,31.6,13,14,0,14,12,36,16,0,Matches,33-212,1991,14.6,649,18,89,331,251,46,648,52,19,36.5,27,51.9,389,2649,1195,38,30,7,51,31,434,68,Matches,33-212,1991,14.6,5,0,0,27,43,5,47,12,13,0,0,0,81,33,53,38.4,Matches
Jordan Pickford,ENG,GK,Everton,31-035,1994,31,31,2790,31.0,0,1,1,0,0,0,6,0,0.0,0.0,0.4,0.4,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,Matches,31-035,1994,31,31,"2,790",31.0,38,1.23,126,86,69.8,7,14,10,9,29.0,2,0,2,0,100.0,Matches,31-035,1994,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,31-035,1994,31.0,837,1286,65.1,27221,20622,120,121,99.2,344,350,98.3,372,805,46.2,1,0.4,0.2,+0.6,2,62,8,0,0,Matches,31-035,1994,31.0,11,0.35,10,1,0,0,0,0,2,0.06,2,0,0,0,0,0,Matches,31-035,1994,31.0,1,0,1,0,0,1,2,50.0,1,0,0,0,1,2,28,1,Matches,31-035,1994,31.0,1378,901,1315,64,0,0,1378,0,0,,0,,762,4620,2665,0,0,0,2,0,666,0,Matches,31-035,1994,31.0,6,0,0,0,6,0,0,1,0,0,0,0,28,4,1,80.0,Matches
Jorge Cuenca,ESP,DF,Fulham,25-145,1999,6,3,259,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,,,,,,,,,,,,,,,,,,,,,,,25-145,1999,2.9,0,1,0,0.0,0.35,0.00,0.00,,13.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,25-145,1999,2.9,102,122,83.6,1768,637,34,38,89.5,60,68,88.2,6,14,42.9,0,0.0,0.0,0.0,0,7,0,0,9,Matches,25-145,1999,2.9,1,0.35,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,25-145,1999,2.9,2,2,2,0,0,2,5,40.0,3,3,3,0,2,4,21,0,Matches,25-145,1999,2.9,152,23,88,59,6,1,152,2,2,100.0,0,0.0,65,235,116,0,1,0,1,0,92,0,Matches,25-145,1999,2.9,0,0,0,2,2,0,1,2,2,0,0,0,9,6,3,66.7,Matches
Jorginho,ITA,MF,Arsenal,33-112,1991,13,8,613,6.8,0,0,0,0,0,0,5,0,0.0,0.0,0.4,0.5,10,42,4,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.01,0.07,Matches,,,,,,,,,,,,,,,,,,,,,,,33-112,1991,6.8,0,1,0,0.0,0.15,0.00,0.00,,22.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,33-112,1991,6.8,346,400,86.5,5408,1292,185,204,90.7,137,155,88.4,18,30,60.0,0,0.4,0.5,-0.4,3,36,8,0,42,Matches,33-112,1991,6.8,12,1.76,10,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches,33-112,1991,6.8,12,4,1,7,4,8,20,40.0,12,3,0,3,5,17,2,2,Matches,33-112,1991,6.8,443,9,81,262,105,3,443,4,1,25.0,2,50.0,258,1320,754,10,9,0,9,9,330,4,Matches,33-112,1991,6.8,5,0,0,13,16,0,1,5,4,0,0,0,47,1,5,16.7,Matches
Joshua Acheampong,ENG,DF,Chelsea,18-341,2006,4,2,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,8,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches,,,,,,,,,,,,,,,,,,,,,,,18-341,2006,1.9,0,2,0,0.0,1.06,0.00,0.00,,8.9,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches,18-341,2006,1.9,104,124,83.9,2025,705,29,32,90.6,63,68,92.6,11,20,55.0,0,0.0,0.0,0.0,0,6,0,0,8,Matches,18-341,2006,1.9,2,1.06,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,18-341,2006,1.9,2,1,2,0,0,2,2,100.0,0,1,0,1,1,3,2,0,Matches,18-341,2006,1.9,137,7,48,81,8,3,137,2,1,50.0,0,0.0,106,709,409,0,2,0,2,0,111,0,Matches,18-341,2006,1.9,1,0,0,0,1,0,0,1,1,0,0,0,7,1,6,14.3,Matches
